,X.comp1,Y.comp1,
1,-7.397655702,-0.079098619,Human-Ex Neuron
2,-5.111324436,-0.079098619,Human-Ex Neuron
3,-4.098204255,-0.079098619,Human-Ex Neuron
4,-7.049111715,-0.079098619,Human-Ex Neuron
5,-5.265910536,-0.079098619,Human-Ex Neuron
6,-6.105853798,-0.079098619,Human-Ex Neuron
7,-8.531490803,-0.079098619,Human-Ex Neuron
8,-1.40794533,-0.079098619,Human-Ex Neuron
9,-7.777150749,-0.079098619,Human-Ex Neuron
10,-7.105350835,-0.079098619,Human-Ex Neuron
11,-2.286967425,-0.079098619,Human-Ex Neuron
12,-1.653574807,-0.079098619,Human-Ex Neuron
13,-5.863111576,-0.079098619,Human-Ex Neuron
14,-7.212702493,-0.079098619,Human-Ex Neuron
15,-8.181803605,-0.079098619,Human-Ex Neuron
16,-4.985066846,-0.079098619,Human-Ex Neuron
17,5.258330726,-0.079098619,Human-Ex Neuron
18,-8.158620295,-0.079098619,Human-Ex Neuron
19,-7.958211403,-0.079098619,Human-Ex Neuron
20,-2.280438277,-0.079098619,Human-Ex Neuron
21,-6.353146823,-0.079098619,Human-Ex Neuron
22,-3.725656484,-0.079098619,Human-Ex Neuron
23,-5.534339141,-0.079098619,Human-Ex Neuron
24,0.470134123,-0.079098619,Human-Ex Neuron
25,-5.748312961,-0.079098619,Human-Ex Neuron
26,-5.379962201,-0.079098619,Human-Ex Neuron
27,-6.489694236,-0.079098619,Human-Ex Neuron
28,-6.477855287,-0.079098619,Human-Ex Neuron
29,-6.348754512,-0.079098619,Human-Ex Neuron
30,-8.828284611,-0.079098619,Human-Ex Neuron
31,-7.112153669,-0.079098619,Human-Ex Neuron
32,-6.901269573,-0.079098619,Human-Ex Neuron
33,-6.910804313,-0.079098619,Human-Ex Neuron
34,-6.86228329,-0.079098619,Human-Ex Neuron
35,-3.454632311,-0.079098619,Human-Ex Neuron
36,-8.828767681,-0.079098619,Human-Ex Neuron
37,-8.636189728,-0.079098619,Human-Ex Neuron
38,-7.475022576,-0.079098619,Human-Ex Neuron
39,-7.053071799,-0.079098619,Human-Ex Neuron
40,-8.59184235,-0.079098619,Human-Ex Neuron
41,-7.813040197,-0.079098619,Human-Ex Neuron
42,-5.522035672,-0.079098619,Human-Ex Neuron
43,-8.03125358,-0.079098619,Human-Ex Neuron
44,-6.097453771,-0.079098619,Human-Ex Neuron
45,-2.13603051,-0.079098619,Human-Ex Neuron
46,-7.500986523,-0.079098619,Human-Ex Neuron
47,-8.412755008,-0.079098619,Human-Ex Neuron
48,-8.480483758,-0.079098619,Human-Ex Neuron
49,-8.108437076,-0.079098619,Human-Ex Neuron
50,-8.537749959,-0.079098619,Human-Ex Neuron
51,-7.895305289,-0.079098619,Human-Ex Neuron
52,-6.946029395,-0.079098619,Human-Ex Neuron
53,-8.535459095,-0.079098619,Human-Ex Neuron
54,4.925024004,-0.079098619,Human-Ex Neuron
55,-6.870955302,-0.079098619,Human-Ex Neuron
56,-6.785334935,-0.079098619,Human-Ex Neuron
57,-3.995134427,-0.079098619,Human-Ex Neuron
58,-5.730197248,-0.079098619,Human-Ex Neuron
59,-5.990713311,-0.079098619,Human-Ex Neuron
60,-4.048934714,-0.079098619,Human-Ex Neuron
61,-7.986464811,-0.079098619,Human-Ex Neuron
62,-7.485471278,-0.079098619,Human-Ex Neuron
63,-8.223284702,-0.079098619,Human-Ex Neuron
64,-3.853633009,-0.079098619,Human-Ex Neuron
65,-7.815572851,-0.079098619,Human-Ex Neuron
66,-6.879948707,-0.079098619,Human-Ex Neuron
67,-3.913209452,-0.079098619,Human-Ex Neuron
68,-8.423134579,-0.079098619,Human-Ex Neuron
69,0.777298458,-0.079098619,Human-Ex Neuron
70,-7.323029301,-0.079098619,Human-Ex Neuron
71,-6.755143344,-0.079098619,Human-Ex Neuron
72,-7.878339233,-0.079098619,Human-Ex Neuron
73,-3.882588402,-0.079098619,Human-Ex Neuron
74,-7.53423864,-0.079098619,Human-Ex Neuron
75,-5.107446608,-0.079098619,Human-Ex Neuron
76,-5.015798278,-0.079098619,Human-Ex Neuron
77,-6.057414611,-0.079098619,Human-Ex Neuron
78,-5.749805456,-0.079098619,Human-Ex Neuron
79,-8.726387968,-0.079098619,Human-Ex Neuron
80,-8.091883953,-0.079098619,Human-Ex Neuron
81,-7.781603946,-0.079098619,Human-Ex Neuron
82,-8.152338146,-0.079098619,Human-Ex Neuron
83,-6.707070988,-0.079098619,Human-Ex Neuron
84,-6.226480942,-0.079098619,Human-Ex Neuron
85,-6.891471562,-0.079098619,Human-Ex Neuron
86,-9.038873293,-0.079098619,Human-Ex Neuron
87,-6.17066103,-0.079098619,Human-Ex Neuron
88,-3.412284743,-0.079098619,Human-Ex Neuron
89,-7.018359765,-0.079098619,Human-Ex Neuron
90,-8.185108448,-0.079098619,Human-Ex Neuron
91,-0.264421588,-0.079098619,Human-Ex Neuron
92,-7.887032238,-0.079098619,Human-Ex Neuron
93,-8.29077378,-0.079098619,Human-Ex Neuron
94,1.316205208,-0.079098619,Human-Ex Neuron
95,-6.04217935,-0.079098619,Human-Ex Neuron
96,-7.46466629,-0.079098619,Human-Ex Neuron
97,-4.110132654,-0.079098619,Human-Ex Neuron
98,-7.177087653,-0.079098619,Human-Ex Neuron
99,-4.490934023,-0.079098619,Human-Ex Neuron
100,-7.347591031,-0.079098619,Human-Ex Neuron
101,-8.078901566,-0.079098619,Human-Ex Neuron
102,-7.763942066,-0.079098619,Human-Ex Neuron
103,-8.104612122,-0.079098619,Human-Ex Neuron
104,-8.138321466,-0.079098619,Human-Ex Neuron
105,-5.263082377,-0.079098619,Human-Ex Neuron
106,-6.532455386,-0.079098619,Human-Ex Neuron
107,-6.000974344,-0.079098619,Human-Ex Neuron
108,-6.90449498,-0.079098619,Human-Ex Neuron
109,-8.332810505,-0.079098619,Human-Ex Neuron
110,-5.619113488,-0.079098619,Human-Ex Neuron
111,-6.509080844,-0.079098619,Human-Ex Neuron
112,-8.013065214,-0.079098619,Human-Ex Neuron
113,-2.229184725,-0.079098619,Human-Ex Neuron
114,-7.790668576,-0.079098619,Human-Ex Neuron
115,-8.673118359,-0.079098619,Human-Ex Neuron
116,-7.606170188,-0.079098619,Human-Ex Neuron
117,-8.547042889,-0.079098619,Human-Ex Neuron
118,-3.739155383,-0.079098619,Human-Ex Neuron
119,-8.160546118,-0.079098619,Human-Ex Neuron
120,-7.363477634,-0.079098619,Human-Ex Neuron
121,-6.987766985,-0.079098619,Human-Ex Neuron
122,-4.299344147,-0.079098619,Human-Ex Neuron
123,-8.372874535,-0.079098619,Human-Ex Neuron
124,-8.30407937,-0.079098619,Human-Ex Neuron
125,-7.252830382,-0.079098619,Human-Ex Neuron
126,-8.451369686,-0.079098619,Human-Ex Neuron
127,-7.212473395,-0.079098619,Human-Ex Neuron
128,-1.027963717,-0.079098619,Human-Ex Neuron
129,-8.040806109,-0.079098619,Human-Ex Neuron
130,-5.883575322,-0.079098619,Human-Ex Neuron
131,-8.773756743,-0.079098619,Human-Ex Neuron
132,-12.91015035,-0.079098619,Human-Ex Neuron
133,-3.556853607,-0.079098619,Human-Ex Neuron
134,-4.374277891,-0.079098619,Human-Ex Neuron
135,-8.846842247,-0.079098619,Human-Ex Neuron
136,-5.590744735,-0.079098619,Human-Ex Neuron
137,-8.280552903,-0.079098619,Human-Ex Neuron
138,-7.014669978,-0.079098619,Human-Ex Neuron
139,-7.749597554,-0.079098619,Human-Ex Neuron
140,-7.436362116,-0.079098619,Human-Ex Neuron
141,-5.50107118,-0.079098619,Human-Ex Neuron
142,-8.615579971,-0.079098619,Human-Ex Neuron
143,-6.649120152,-0.079098619,Human-Ex Neuron
144,-8.614488204,-0.079098619,Human-Ex Neuron
145,0.244857006,-0.079098619,Human-Ex Neuron
146,-8.541644509,-0.079098619,Human-Ex Neuron
