,0,1,
0,-8.045656,72.39757,Human-Ex Neuron
1,-8.429279,72.64088,Human-Ex Neuron
2,-8.362585,72.53533,Human-Ex Neuron
3,-8.374313,72.4572,Human-Ex Neuron
4,-8.190868,72.18231,Human-Ex Neuron
5,-8.482956,72.34633,Human-Ex Neuron
6,-8.03538,71.7733,Human-Ex Neuron
7,-7.5965357,70.83714,Human-Ex Neuron
8,-8.4222975,71.93412,Human-Ex Neuron
9,-8.672717,72.00936,Human-Ex Neuron
10,-8.765491,71.9676,Human-Ex Neuron
11,-9.122532,72.17514,Human-Ex Neuron
12,-8.973597,71.868935,Human-Ex Neuron
13,-8.670703,71.49737,Human-Ex Neuron
14,-8.380086,71.245575,Human-Ex Neuron
15,-9.233747,71.64846,Human-Ex Neuron
16,-9.738413,72.036354,Human-Ex Neuron
17,-9.074893,71.20887,Human-Ex Neuron
18,-8.919325,70.99817,Human-Ex Neuron
19,-9.814468,71.56053,Human-Ex Neuron
20,-9.6679945,71.15831,Human-Ex Neuron
21,-9.87188,71.183914,Human-Ex Neuron
22,-9.77623,70.85088,Human-Ex Neuron
23,-10.1224985,71.07743,Human-Ex Neuron
24,-9.987688,70.62154,Human-Ex Neuron
25,-10.195559,70.62646,Human-Ex Neuron
26,-10.300527,70.49982,Human-Ex Neuron
27,-10.408596,70.363686,Human-Ex Neuron
28,-10.540275,70.2775,Human-Ex Neuron
29,-10.545423,69.90213,Human-Ex Neuron
30,-10.764453,70.03317,Human-Ex Neuron
31,-10.916964,69.927376,Human-Ex Neuron
32,-11.002897,69.711006,Human-Ex Neuron
33,-11.144342,69.626076,Human-Ex Neuron
34,-11.342555,69.66662,Human-Ex Neuron
35,-11.230322,68.99617,Human-Ex Neuron
36,-11.506107,69.20277,Human-Ex Neuron
37,-11.635782,69.09393,Human-Ex Neuron
38,-11.810112,69.04559,Human-Ex Neuron
39,-11.824358,68.6098,Human-Ex Neuron
40,-12.060239,68.81318,Human-Ex Neuron
41,-12.119954,68.44905,Human-Ex Neuron
42,-12.334685,68.57913,Human-Ex Neuron
43,-12.538522,68.54695,Human-Ex Neuron
44,-12.356738,67.80044,Human-Ex Neuron
45,-12.550928,67.82564,Human-Ex Neuron
46,-12.730601,67.79045,Human-Ex Neuron
47,-13.031866,67.79137,Human-Ex Neuron
48,-12.829123,67.525085,Human-Ex Neuron
49,-13.149086,67.479805,Human-Ex Neuron
50,-13.465876,67.27116,Human-Ex Neuron
51,-13.180955,67.248726,Human-Ex Neuron
52,-13.907226,66.98795,Human-Ex Neuron
53,-13.8589735,66.84272,Human-Ex Neuron
54,-13.946999,66.72052,Human-Ex Neuron
55,-14.106157,66.586784,Human-Ex Neuron
56,-14.215838,66.47344,Human-Ex Neuron
57,-14.370276,66.344055,Human-Ex Neuron
58,-14.403999,66.17264,Human-Ex Neuron
59,-14.647586,66.15,Human-Ex Neuron
60,-14.778889,66.035255,Human-Ex Neuron
61,-15.042043,66.045456,Human-Ex Neuron
62,-14.934543,65.66882,Human-Ex Neuron
63,-15.299275,65.81454,Human-Ex Neuron
64,-15.2688675,65.50482,Human-Ex Neuron
65,-15.3271885,65.24371,Human-Ex Neuron
66,-15.780299,65.62457,Human-Ex Neuron
67,-15.469312,64.85685,Human-Ex Neuron
68,-15.860812,65.09944,Human-Ex Neuron
69,-15.979055,64.92004,Human-Ex Neuron
70,-16.275108,64.98464,Human-Ex Neuron
71,-16.198557,64.63992,Human-Ex Neuron
72,-16.406075,64.56307,Human-Ex Neuron
73,-16.449348,64.391014,Human-Ex Neuron
74,-16.566368,64.26294,Human-Ex Neuron
75,-16.823986,64.21066,Human-Ex Neuron
76,-16.820812,63.961853,Human-Ex Neuron
77,-17.420528,64.20334,Human-Ex Neuron
78,-17.710527,64.27366,Human-Ex Neuron
79,-17.379768,63.720882,Human-Ex Neuron
80,-17.66908,63.792435,Human-Ex Neuron
81,-17.618715,63.428314,Human-Ex Neuron
82,-17.77702,63.3129,Human-Ex Neuron
83,-17.934992,63.228302,Human-Ex Neuron
84,-18.01182,63.03229,Human-Ex Neuron
85,-18.076468,62.77179,Human-Ex Neuron
86,-18.35509,62.89876,Human-Ex Neuron
87,-18.773916,62.97539,Human-Ex Neuron
88,-18.365917,62.301056,Human-Ex Neuron
89,-19.08946,62.734108,Human-Ex Neuron
90,-19.26428,62.657356,Human-Ex Neuron
91,-18.621859,61.96651,Human-Ex Neuron
92,-19.290258,62.17684,Human-Ex Neuron
93,-19.545704,62.155453,Human-Ex Neuron
94,-19.409359,61.829365,Human-Ex Neuron
95,-19.78122,61.863155,Human-Ex Neuron
96,-19.737404,61.608986,Human-Ex Neuron
97,-20.032232,61.591606,Human-Ex Neuron
98,-20.28452,61.623497,Human-Ex Neuron
99,-20.427364,61.552177,Human-Ex Neuron
100,-20.453808,61.26737,Human-Ex Neuron
101,-20.657228,61.314777,Human-Ex Neuron
102,-20.755554,61.01637,Human-Ex Neuron
103,-20.876793,60.86002,Human-Ex Neuron
104,-21.038353,60.774235,Human-Ex Neuron
105,-21.195854,60.663624,Human-Ex Neuron
106,-21.37636,60.6537,Human-Ex Neuron
107,-21.439243,60.41337,Human-Ex Neuron
108,-21.649157,60.395725,Human-Ex Neuron
109,-22.040537,60.47505,Human-Ex Neuron
110,-21.755919,59.971153,Human-Ex Neuron
111,-22.116575,60.07509,Human-Ex Neuron
112,-22.172924,59.868645,Human-Ex Neuron
113,-22.683174,60.072998,Human-Ex Neuron
114,-22.4577,59.640842,Human-Ex Neuron
115,-23.04784,59.938816,Human-Ex Neuron
116,-22.860142,59.533432,Human-Ex Neuron
117,-22.968115,59.385696,Human-Ex Neuron
118,-22.97167,59.020596,Human-Ex Neuron
119,-23.301828,59.175488,Human-Ex Neuron
120,-23.626886,59.3406,Human-Ex Neuron
121,-23.61861,59.00044,Human-Ex Neuron
122,-23.95934,59.31319,Human-Ex Neuron
123,-23.946434,58.855972,Human-Ex Neuron
124,-24.065086,58.154427,Human-Ex Neuron
125,-24.344156,58.980362,Human-Ex Neuron
126,-24.413374,58.373165,Human-Ex Neuron
127,-24.665478,58.77697,Human-Ex Neuron
128,-24.78368,58.27695,Human-Ex Neuron
129,-24.776737,57.83879,Human-Ex Neuron
130,-25.028929,57.9769,Human-Ex Neuron
131,-25.005089,57.571445,Human-Ex Neuron
132,-25.311218,57.83545,Human-Ex Neuron
133,-25.999884,58.24562,Human-Ex Neuron
134,-25.659199,57.70208,Human-Ex Neuron
135,-25.846045,57.64831,Human-Ex Neuron
136,-26.040638,57.588535,Human-Ex Neuron
137,-26.020452,57.364544,Human-Ex Neuron
138,-26.724644,57.659603,Human-Ex Neuron
139,-26.489813,57.3447,Human-Ex Neuron
140,-26.987738,57.48053,Human-Ex Neuron
141,-26.290098,56.535675,Human-Ex Neuron
142,-27.280756,57.340473,Human-Ex Neuron
143,-27.140173,56.89766,Human-Ex Neuron
144,-26.415785,56.055866,Human-Ex Neuron
