,0,1,
0,0.197901413,0.617919743,Human-Ex Neuron
1,0.137980446,0.569318175,Human-Ex Neuron
2,0.318685323,0.790781379,Human-Ex Neuron
3,0.207394943,0.634269178,Human-Ex Neuron
4,0.320638567,0.769327283,Human-Ex Neuron
5,0.237416252,0.667450488,Human-Ex Neuron
6,0.146736071,0.582828045,Human-Ex Neuron
7,0.320505112,0.775921345,Human-Ex Neuron
8,0.316780627,0.757436693,Human-Ex Neuron
9,0.242468804,0.656567514,Human-Ex Neuron
10,0.134274885,0.582603216,Human-Ex Neuron
11,0.324567854,0.769229531,Human-Ex Neuron
12,0.316719979,0.793269873,Human-Ex Neuron
13,0.156707734,0.595804095,Human-Ex Neuron
14,0.319946319,0.790886998,Human-Ex Neuron
15,0.324564278,0.766211569,Human-Ex Neuron
16,0.143220693,0.580463052,Human-Ex Neuron
17,0.223041445,0.637698233,Human-Ex Neuron
18,0.235838398,0.659313619,Human-Ex Neuron
19,0.150392398,0.589833081,Human-Ex Neuron
20,0.137116596,0.563193738,Human-Ex Neuron
21,0.297129184,0.736151695,Human-Ex Neuron
22,0.169001937,0.601508915,Human-Ex Neuron
23,0.13948302,0.561308265,Human-Ex Neuron
24,0.27722156,0.724846959,Human-Ex Neuron
25,0.222959384,0.661500931,Human-Ex Neuron
26,0.238822833,0.669075429,Human-Ex Neuron
27,0.261384487,0.713516533,Human-Ex Neuron
28,0.146411732,0.581733346,Human-Ex Neuron
29,0.199265182,0.639182568,Human-Ex Neuron
30,0.315050066,0.760435402,Human-Ex Neuron
31,0.149376184,0.60267359,Human-Ex Neuron
32,0.318656802,0.766450644,Human-Ex Neuron
33,0.197548881,0.63250649,Human-Ex Neuron
34,0.2852678,0.728866875,Human-Ex Neuron
35,0.260343283,0.712241292,Human-Ex Neuron
36,0.314069539,0.753322542,Human-Ex Neuron
37,0.159459889,0.596031785,Human-Ex Neuron
38,0.238664404,0.711779535,Human-Ex Neuron
39,0.144251183,0.582845151,Human-Ex Neuron
40,0.137521222,0.569555819,Human-Ex Neuron
41,0.32140857,0.783604324,Human-Ex Neuron
42,0.304630935,0.741078675,Human-Ex Neuron
43,0.273889571,0.722297847,Human-Ex Neuron
44,0.308999121,0.748004496,Human-Ex Neuron
45,0.234556705,0.653028607,Human-Ex Neuron
46,0.135478079,0.565667212,Human-Ex Neuron
47,0.152637154,0.586092949,Human-Ex Neuron
48,0.240083829,0.690378249,Human-Ex Neuron
49,0.225078881,0.635358214,Human-Ex Neuron
50,0.139796659,0.598390341,Human-Ex Neuron
51,0.31567806,0.782530308,Human-Ex Neuron
52,0.322082251,0.773648381,Human-Ex Neuron
53,0.321544886,0.773264468,Human-Ex Neuron
54,0.315498948,0.761684954,Human-Ex Neuron
55,0.200257137,0.619446933,Human-Ex Neuron
56,0.315644532,0.759931564,Human-Ex Neuron
57,0.315969229,0.790423155,Human-Ex Neuron
58,0.314390659,0.792171538,Human-Ex Neuron
59,0.29474777,0.747756898,Human-Ex Neuron
60,0.317591339,0.793369055,Human-Ex Neuron
61,0.15003486,0.590519607,Human-Ex Neuron
62,0.318070889,0.789103627,Human-Ex Neuron
63,0.313752681,0.746372402,Human-Ex Neuron
64,0.239535049,0.681688309,Human-Ex Neuron
65,0.310798913,0.751512766,Human-Ex Neuron
66,0.300935745,0.738979876,Human-Ex Neuron
67,0.271420389,0.720948339,Human-Ex Neuron
68,0.166709021,0.602440953,Human-Ex Neuron
69,0.138849661,0.563022435,Human-Ex Neuron
70,0.209613636,0.627675891,Human-Ex Neuron
71,0.159891993,0.554330349,Human-Ex Neuron
72,0.276767671,0.725014687,Human-Ex Neuron
73,0.225528479,0.635186195,Human-Ex Neuron
74,0.148999378,0.587229788,Human-Ex Neuron
75,0.315556735,0.786028564,Human-Ex Neuron
