,0,1,
0,1.2310095,11.754873,Human-Ex Neuron
1,28.796707,-21.453165,Human-Ex Neuron
2,34.18837,-28.653381,Human-Ex Neuron
3,-1.0123248,10.306713,Human-Ex Neuron
4,30.849401,-27.697853,Human-Ex Neuron
5,26.526485,-19.5516,Human-Ex Neuron
6,-14.786413,32.504677,Human-Ex Neuron
7,47.11616,-43.587452,Human-Ex Neuron
8,-3.782394,16.154509,Human-Ex Neuron
9,6.0944786,5.107357,Human-Ex Neuron
10,46.003254,-41.300236,Human-Ex Neuron
11,47.26827,-42.051758,Human-Ex Neuron
12,26.71176,-16.457253,Human-Ex Neuron
13,1.0921456,11.761864,Human-Ex Neuron
14,-14.266292,33.654297,Human-Ex Neuron
15,26.598545,-17.121042,Human-Ex Neuron
16,48.972805,-46.47127,Human-Ex Neuron
17,-9.465614,27.708443,Human-Ex Neuron
18,-11.35745,27.544647,Human-Ex Neuron
19,45.266758,-40.323498,Human-Ex Neuron
20,26.133575,-18.911419,Human-Ex Neuron
21,39.435104,-34.362637,Human-Ex Neuron
22,30.802076,-21.357931,Human-Ex Neuron
23,48.848076,-45.223385,Human-Ex Neuron
24,28.1684,-19.653543,Human-Ex Neuron
25,28.519966,-19.095062,Human-Ex Neuron
26,13.114808,-1.8763506,Human-Ex Neuron
27,8.91429,-1.9878353,Human-Ex Neuron
28,20.876219,-9.110425,Human-Ex Neuron
29,-21.464203,44.289013,Human-Ex Neuron
30,11.4140835,-2.6845329,Human-Ex Neuron
31,15.195468,-5.500254,Human-Ex Neuron
32,15.476095,-3.7507298,Human-Ex Neuron
33,8.66205,-0.23751926,Human-Ex Neuron
34,43.330273,-39.25729,Human-Ex Neuron
35,-20.875284,43.498585,Human-Ex Neuron
36,-19.451813,40.81418,Human-Ex Neuron
37,1.0499842,8.248728,Human-Ex Neuron
38,7.96554,-2.7500005,Human-Ex Neuron
39,-19.93045,44.06873,Human-Ex Neuron
40,-7.928028,20.786375,Human-Ex Neuron
41,25.781254,-16.121834,Human-Ex Neuron
42,-2.2193856,13.829275,Human-Ex Neuron
43,12.482804,-4.3895245,Human-Ex Neuron
44,43.518784,-38.480064,Human-Ex Neuron
45,-5.5395017,20.529245,Human-Ex Neuron
46,-15.350664,33.753315,Human-Ex Neuron
47,-9.829038,28.519615,Human-Ex Neuron
48,-2.6622908,17.114454,Human-Ex Neuron
49,-9.785668,28.146465,Human-Ex Neuron
50,-6.543129,21.915493,Human-Ex Neuron
51,11.344461,1.1549609,Human-Ex Neuron
52,-7.2243896,24.992004,Human-Ex Neuron
53,49.302944,-46.304893,Human-Ex Neuron
54,18.487064,-4.2394266,Human-Ex Neuron
55,8.297206,0.3317905,Human-Ex Neuron
56,36.305668,-32.59252,Human-Ex Neuron
57,26.054308,-16.248325,Human-Ex Neuron
58,23.309185,-8.660624,Human-Ex Neuron
59,37.259193,-30.80548,Human-Ex Neuron
60,18.263538,-2.9701843,Human-Ex Neuron
61,-2.3637729,13.287548,Human-Ex Neuron
62,-5.493913,21.83324,Human-Ex Neuron
63,49.90949,-40.475864,Human-Ex Neuron
64,-8.440275,26.057772,Human-Ex Neuron
65,10.286523,-4.0273137,Human-Ex Neuron
66,35.275013,-28.98057,Human-Ex Neuron
67,-18.15944,38.43559,Human-Ex Neuron
68,50.331223,-44.21521,Human-Ex Neuron
69,7.689944,-1.9647336,Human-Ex Neuron
70,13.460744,-2.7187955,Human-Ex Neuron
71,3.2278273,9.834512,Human-Ex Neuron
72,36.600056,-31.693785,Human-Ex Neuron
73,5.813012,3.0793211,Human-Ex Neuron
74,36.913513,-31.444172,Human-Ex Neuron
75,30.250465,-22.121485,Human-Ex Neuron
76,19.216764,-8.473116,Human-Ex Neuron
77,24.24893,-13.212475,Human-Ex Neuron
78,-15.601757,34.439552,Human-Ex Neuron
79,-11.741836,26.56804,Human-Ex Neuron
80,7.0979943,3.4060621,Human-Ex Neuron
81,-7.965956,24.13734,Human-Ex Neuron
82,22.296234,-12.743934,Human-Ex Neuron
83,21.062628,-8.805564,Human-Ex Neuron
84,9.625604,1.3922789,Human-Ex Neuron
85,-21.761616,43.63136,Human-Ex Neuron
86,31.098965,-21.583595,Human-Ex Neuron
87,39.978394,-35.734253,Human-Ex Neuron
88,10.239182,-3.5400395,Human-Ex Neuron
89,-7.808599,25.624819,Human-Ex Neuron
90,47.528618,-43.76701,Human-Ex Neuron
91,-4.2729917,20.40828,Human-Ex Neuron
92,-18.052797,38.12298,Human-Ex Neuron
93,47.772827,-44.0095,Human-Ex Neuron
94,19.455843,-10.4323,Human-Ex Neuron
95,-2.1316435,15.720927,Human-Ex Neuron
96,37.090897,-32.328304,Human-Ex Neuron
97,-0.85904956,8.776916,Human-Ex Neuron
98,33.992706,-24.1925,Human-Ex Neuron
99,-2.6568441,15.701169,Human-Ex Neuron
100,-7.581773,22.686607,Human-Ex Neuron
101,-3.45535,14.871064,Human-Ex Neuron
102,3.6287572,6.4269586,Human-Ex Neuron
103,-4.1145916,19.228998,Human-Ex Neuron
104,18.79158,-5.836685,Human-Ex Neuron
105,20.940855,-10.286219,Human-Ex Neuron
106,14.599422,-4.1916194,Human-Ex Neuron
107,9.064259,-0.5358164,Human-Ex Neuron
108,4.135465,8.334522,Human-Ex Neuron
109,30.85152,-22.3869,Human-Ex Neuron
110,13.105868,-1.3330998,Human-Ex Neuron
111,-5.4497533,21.661638,Human-Ex Neuron
112,49.939564,-41.023663,Human-Ex Neuron
113,18.81596,-3.374999,Human-Ex Neuron
114,-21.663286,44.080635,Human-Ex Neuron
115,13.988917,-1.8396612,Human-Ex Neuron
116,-18.081572,38.37281,Human-Ex Neuron
117,50.10169,-39.594887,Human-Ex Neuron
118,-11.350994,30.212769,Human-Ex Neuron
119,-1.8093376,12.861254,Human-Ex Neuron
120,8.363135,-0.069698215,Human-Ex Neuron
121,37.10988,-31.76735,Human-Ex Neuron
122,8.181676,4.2038918,Human-Ex Neuron
123,-6.336057,19.924751,Human-Ex Neuron
124,6.5993733,2.1756985,Human-Ex Neuron
125,-10.902389,29.185074,Human-Ex Neuron
126,13.117339,-0.105369955,Human-Ex Neuron
127,47.747185,-43.116493,Human-Ex Neuron
128,-7.3817225,22.2101,Human-Ex Neuron
129,31.670544,-25.427597,Human-Ex Neuron
130,-18.651966,39.25266,Human-Ex Neuron
131,30.346338,-27.723375,Human-Ex Neuron
132,45.8404,-40.635406,Human-Ex Neuron
133,37.22485,-32.072277,Human-Ex Neuron
134,-20.538662,44.044373,Human-Ex Neuron
135,33.723003,-26.630856,Human-Ex Neuron
136,-10.396249,26.967398,Human-Ex Neuron
137,18.778856,-6.5993257,Human-Ex Neuron
138,2.3456607,8.40672,Human-Ex Neuron
139,3.082627,5.4199963,Human-Ex Neuron
140,30.624659,-23.843277,Human-Ex Neuron
