,0,1,2,3,4,5,6,7,8,9
0,Osteoblasts,Embryonic stem cell,Early blastocyst cell (86-88h post-fertilization),2-cell embryo,Excitatory neurons,embryo 14,epiblast cell,ES_Actb_high(Embryonic-Stem-Cell),Intermediate Mesoderm,Excitatory neurons
1,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Postmitotic premature neurons,Epithelial cells,2-cell embryo,epiblast cell,embryo 10,8-cell stage blastomere,Endothelial cells
2,Excitatory neurons,embryo 7,embryo 7,Embryonic stem cell,Epithelial cells,8-cell embryo,Epithelial cells,ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells,16-cell stage blastomere
3,embryo 9,Embryonic stem cell,2-cell embryo,ES_Actb_high(Embryonic-Stem-Cell),embryo 10,16-cell stage blastomere,Epithelial cells,Excitatory neurons,Oligodendrocyte Progenitors,Connective tissue progenitors
4,ES_Actb_high(Embryonic-Stem-Cell),Endothelial cells,Embryonic stem cell,2-cell embryo,Postmitotic premature neurons,embryo 14,2-cell embryo,Oligodendrocyte Progenitors,embryo 7,Osteoblasts
5,Excitatory neurons,embryo 10,Connective tissue progenitors,ES cell,Mid blastocyst cell (92-94h post-fertilization),Connective tissue progenitors,Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),Postmitotic premature neurons,embryo 14
6,ES cell,8-cell embryo,Isthmic organizer cells,Connective tissue progenitors,epiblast cell,Connective tissue progenitors,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,embryo 9,Endothelial cells
7,ES_Rps28_high(Embryonic-Stem-Cell),Embryonic stem cell,Excitatory neurons,Osteoblasts,embryo 7,Postmitotic premature neurons,4-cell embryo,epiblast cell,Late 2-cell stage blastomere (46-48h post-fertilization),Epithelial cells
8,epiblast cell,Connective tissue progenitors,Intermediate Mesoderm,16-cell stage blastomere,ES_Actb_high(Embryonic-Stem-Cell),Connective tissue progenitors,Embryonic stem cell,embryo 9,2-cell embryo,Epithelial cells
9,epiblast cell,Isthmic organizer cells,ES_Actb_high(Embryonic-Stem-Cell),Isthmic organizer cells,8-cell stage blastomere,Embryonic stem cell,embryo 14,Excitatory neurons,Endothelial cells,8-cell embryo
10,Definitive erythroid lineage,embryo 7,Connective tissue progenitors,epiblast cell,blastocyst,ES_Actb_high(Embryonic-Stem-Cell),mouse oocyte,Embryonic stem cell,Postmitotic premature neurons,Connective tissue progenitors
11,ES_Actb_high(Embryonic-Stem-Cell),Excitatory neurons,2-cell embryo,epiblast cell,Endothelial cells,embryo 10,Excitatory neurons,Connective tissue progenitors,Embryonic fibroblast,Mid blastocyst cell (92-94h post-fertilization)
12,Epithelial cells,Connective tissue progenitors,Epithelial cells,epiblast cell,embryo 11,2-cell embryo,ES_Rps28_high(Embryonic-Stem-Cell),Intermediate Mesoderm,2-cell embryo,Embryonic stem cell
13,embryo 14,ES_Rps28_high(Embryonic-Stem-Cell),Intermediate Mesoderm,Excitatory neurons,Epithelial cells,embryo 14,2-cell embryo,4-cell embryo,Excitatory neurons,Embryonic stem cell
14,Embryonic stem cell,Connective tissue progenitors,Inhibitory neurons,Mid blastocyst cell (92-94h post-fertilization),Excitatory neurons,2-cell embryo,ES_Nedd4_high(Embryonic-Stem-Cell),embryo 10,embryo 7,Excitatory neurons
15,Epithelial cells,Embryonic stem cell,Definitive erythroid lineage,embryo 9,2-cell embryo,Late blastocyst cell (100-102h post-fertilization),embryo 14,ES_Actb_high(Embryonic-Stem-Cell),Postmitotic premature neurons,Epithelial cells
16,epiblast cell,Epithelial cells,Excitatory neurons,4-cell embryo,Inhibitory neurons,Embryonic stem cell,embryo 10,mouse 4-cell,ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells
17,Epithelial cells,Oligodendrocyte Progenitors,8-cell stage blastomere,Epithelial cells,Embryonic stem cell,Endothelial cells,ES_Actb_high(Embryonic-Stem-Cell),embryo 7,4-cell embryo,epiblast cell
18,2-cell embryo,ES_Actb_high(Embryonic-Stem-Cell),embryo 10,Inhibitory neurons,Intermediate Mesoderm,epiblast cell,Excitatory neurons,Embryonic stem cell,8-cell stage blastomere,Epithelial cells
19,Oligodendrocyte Progenitors,Osteoblasts,epiblast cell,embryo 9,Epithelial cells,Embryonic stem cell,ES_Nedd4_high(Embryonic-Stem-Cell),Excitatory neurons,16-cell stage blastomere,8-cell embryo
20,Epithelial cells,ES_Actb_high(Embryonic-Stem-Cell),embryo 9,Connective tissue progenitors,Excitatory neurons,Connective tissue progenitors,2-cell embryo,16-cell stage blastomere,Embryonic stem cell,epiblast cell
21,Epithelial cells,2-cell embryo,Epithelial cells,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Oligodendrocyte Progenitors,embryo 7,Postmitotic premature neurons,embryo 14,ES cell
22,Postmitotic premature neurons,embryo 14,Excitatory neurons,epiblast cell,Connective tissue progenitors,2-cell embryo,Embryonic stem cell,16-cell stage blastomere,Inhibitory neurons,ES_Actb_high(Embryonic-Stem-Cell)
23,Connective tissue progenitors,ES_Actb_high(Embryonic-Stem-Cell),4-cell embryo,epiblast cell,Connective tissue progenitors,Postmitotic premature neurons,Embryonic stem cell,embryo 7,Early blastocyst cell (86-88h post-fertilization),Connective tissue progenitors
24,Oligodendrocyte Progenitors,Definitive erythroid lineage,embryo 10,ES_Actb_high(Embryonic-Stem-Cell),2-cell embryo,Epithelial cells,Embryonic stem cell,Intermediate Mesoderm,16-cell stage blastomere,embryo 14
25,Connective tissue progenitors,Jaw and tooth progenitors,Postmitotic premature neurons,ES_Actb_high(Embryonic-Stem-Cell),Endothelial cells,embryo 9,8-cell stage blastomere,Embryonic stem cell,epiblast cell,2-cell embryo
26,ES cell,Connective tissue progenitors,Connective tissue progenitors,Inhibitory neurons,embryo 14,Mid blastocyst cell (92-94h post-fertilization),ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,epiblast cell,Epithelial cells
27,embryo 10,Mid blastocyst cell (92-94h post-fertilization),2-cell embryo,Epithelial cells,Embryonic stem cell,Osteoblasts,embryo 7,ES_Nedd4_high(Embryonic-Stem-Cell),Epithelial cells,Excitatory neurons
28,Embryonic stem cell,Epithelial cells,Intermediate Mesoderm,embryo 7,epiblast cell,Excitatory neurons,2-cell embryo,Mid blastocyst cell (92-94h post-fertilization),ES_Rps28_high(Embryonic-Stem-Cell),Definitive erythroid lineage
