Dim1 Dim2 Dataset
V2 0.830145380881996 -18.3675095037919 atac
V4 0.869428656486244 -18.3252636389237 atac
V8 1.81874110498783 7.02861342864219 atac
V9 1.7997806290662 7.00847325759117 atac
X0.1 3.02694704332706 -2.17132844490822 rna
X1 23.1352658490216 0.799520234634321 rna
X2 -4.82113454541805 18.6432040734786 rna
X3 23.1644845227277 0.953984837104719 rna
X4 -0.169665404173164 -2.80835189385231 rna
X5 -0.173354782673149 -2.8691886858445 rna
X6 5.86280109682438 -0.194192995260317 rna
X7 10.4475636700666 13.7716945214767 rna
X8 6.80860855379459 15.0097564263839 rna
X9 23.2544579724347 1.06325231032554 rna
X10 10.4361119488752 13.7892745538253 rna
X11 8.45106842317936 1.33815870719139 rna
X12 -7.31836364469173 17.2347148461837 rna
X13 -5.61685416898373 18.8215926690597 rna
X14 23.4257836560285 1.0494839950103 rna
X15 11.2224459866559 13.1254275842208 rna
X16 -2.34343204698208 17.7553981347579 rna
X17 7.88812973299381 0.783079247047346 rna
X18 6.26355745592472 -0.254852970073778 rna
X19 23.1442475537336 1.00398586230461 rna
X20 7.81595756807682 0.723229388763349 rna
X21 8.97168686190006 2.25614605384056 rna
X22 23.5434479931867 1.0051450534362 rna
X23 -1.99291632375362 1.86740360694114 rna
X24 7.30795385637638 14.9557689233321 rna
X25 8.25592472353336 14.9090655847091 rna
X26 2.95663478174564 -2.24613489670571 rna
X27 23.1649213055646 1.03532014327232 rna
X28 -7.41290137967709 17.1233466668624 rna
X29 -7.61387250623348 -6.64186682267006 rna
X30 -7.36737821302059 17.1747153802413 rna
X31 -14.590436436745 -7.98990215821083 rna
X32 -5.74300143918636 18.6054252191085 rna
X33 23.2671971539533 0.89314589934532 rna
X34 22.6965203503644 1.29493556456749 rna
X35 6.31805517473576 15.1875012918014 rna
X36 10.3279757718122 13.7991031213302 rna
X37 23.038511774925 0.840399484207075 rna
X38 7.32788088121769 0.35104487376396 rna
X39 11.489288828758 12.8497041268844 rna
X40 23.3003831128156 0.847995857765119 rna
X41 -7.4179391642535 17.1170981927413 rna
X42 -6.93888423642757 17.6046870751876 rna
X43 -5.72546766004208 18.8554309411544 rna
X44 23.4152512768781 1.14249453978721 rna
X45 -7.72737643918636 16.5964530511398 rna
X46 8.73826839723942 14.7868646188277 rna
X47 -4.91701362332943 18.6165202661056 rna
X48 8.24055340090153 1.16910980181877 rna
X49 7.05372574129459 14.9886296792525 rna
X0.2 1.82630517282841 -2.03964843315895 rna
X1.1 -13.087769009682 -8.00216879410561 rna
X2.1 -0.500795022162227 -3.13995327515419 rna
X3.1 -12.4498924990619 -8.10576357407387 rna
X4.1 8.09426643648502 1.0099332137603 rna
X5.1 5.1286916951215 -1.00237654609497 rna
X6.1 -7.74109361371639 -6.67947687668617 rna
X7.1 9.28067543306705 2.92170749144737 rna
X8.1 -11.6570992251361 -8.06186117691811 rna
X9.1 -12.2129397173846 -8.26815714402016 rna
X10.1 -9.91817996701839 -8.32460655731972 rna
X11.1 -5.42082116803768 -5.6324259237748 rna
X12.1 9.15912678041813 2.60882649855797 rna
X13.1 10.9949031094587 13.3403276010055 rna
X14.1 -1.37371835908535 -3.73934378189858 rna
X15.1 9.14785244264957 14.6031497521896 rna
X16.1 -2.27548775872829 -4.37827291054543 rna
X17.1 -7.07477281293514 -6.12659563584145 rna
X18.1 -7.56568238935116 14.4659675164718 rna
X19.1 -1.91602359017971 -3.94062389893349 rna
X20.1 1.35920431414005 -2.37345530552681 rna
X21.1 -5.78935859403255 -5.90072884125527 rna
X22.1 -4.66411016187313 -11.2988659338456 rna
X23.1 -13.8343786974871 -7.85915245575722 rna
X24.1 -0.825282179328232 -3.33483662171181 rna
X25.1 -12.9007687350238 -7.89210333390053 rna
X26.1 -9.69358775815609 -8.38424505753334 rna
X27.1 0.514022729781838 -2.531384725998 rna
X28.1 -4.44876001081112 -5.5856353239518 rna
X29.1 -2.53203818997982 -4.59134616417702 rna
X30.1 -1.70763347348812 -3.84440435929115 rna
X31.1 -5.08305738172176 -5.69868483109291 rna
X32.1 -2.62625000676754 -5.12561144394692 rna
X33.1 -0.936802991243629 -3.34419693512734 rna
X34.1 0.188911936668129 -2.6926168398362 rna
X35.1 1.18398465910313 -2.30477644963082 rna
X36.1 -0.707566790791778 -3.30462970299538 rna
X37.1 -8.02650640210751 -7.09062828583534 rna
X38.1 -6.24738118848446 -6.08461346192177 rna
X39.1 2.66484715738651 -2.24627890152748 rna
X40.1 -2.14777515134457 -4.126386304329 rna
X41.1 6.89034464159367 14.9153598351974 rna
X42.1 -10.5598635455096 -8.56417097611244 rna
X43.1 -5.04426000318172 -5.63691010041054 rna
X44.1 -5.04830739698055 -5.68941893143471 rna
X45.1 -1.63707993230465 -4.04057063622292 rna
X46.1 -1.7051466484988 -4.01471986336525 rna
X47.1 -7.22379348477963 -6.18581404251869 rna
X48.1 -1.3729436775172 -3.63079013390358 rna
X49.1 3.36644151010868 -2.12031878990944 rna
X0.3 23.3353467206037 1.08534667926018 rna
X1.2 -9.61824939450863 -8.1064773992997 rna
X2.2 -7.35635469159725 -6.35852112335976 rna
X3.2 -2.11350784501675 -4.37192239327248 rna
X4.2 9.58252670565006 3.77001796202843 rna
X5.2 9.50783874788639 3.82899890380089 rna
X6.2 -9.00445029935482 -8.048843045662 rna
X7.2 -0.735747591170101 -3.10959281487282 rna
X8.2 -5.44227693280819 -5.7096210913163 rna
X9.2 -11.1903738757098 -8.50562300247963 rna
X10.2 0.13760247030613 -2.7761825518113 rna
X11.2 -0.474454291673927 -2.99728407425698 rna
X12.2 8.79526665010807 1.96509371237938 rna
X13.2 -7.33327434262875 -6.11986937088783 rna
X14.2 -2.54112611016872 -4.84996141953285 rna
X15.2 -3.0892402907336 -4.88805641693886 rna
X16.2 -2.41193113526943 -4.65857495827492 rna
X17.2 -10.9793581744159 -8.27957691712196 rna
X18.2 23.4614587048566 0.991906623413008 rna
X19.2 -0.336353995415001 -3.07516707939919 rna
X20.2 -7.11291072568539 -6.27187170548256 rna
X21.2 4.06496050157902 -1.90414430661019 rna
X22.2 23.5470395306623 1.07411120372001 rna
X23.2 22.9971070508039 0.815553049613874 rna
X24.2 -7.4963631411517 -6.29487432999428 rna
X25.2 7.24216701784489 0.291639606525343 rna
X26.2 23.5815797070539 1.12789199786369 rna
X27.2 -0.748529337855606 -3.36583532852944 rna
X28.2 -0.440584041687278 -2.99512018723305 rna
X29.2 -7.74045322141293 -6.54213776154335 rna
X30.2 23.1945557812726 0.984018306304853 rna
X31.2 5.49436428346989 -0.835661922524531 rna
X32.2 -7.64287755689266 16.7990096612472 rna
X33.2 -3.41540692052486 -5.03902878327187 rna
X34.2 22.5830655316388 1.20034883456413 rna
X35.2 -6.09364364347103 -5.9794341520768 rna
X36.2 -2.6319615622485 -4.581389089058 rna
X37.2 -7.59619901380184 16.8897174401778 rna
X38.2 -10.0281157275164 -8.19752516312416 rna
X39.2 22.995163462547 0.994258145858686 rna
X40.2 9.35548355379459 3.05234132247154 rna
X41.2 -10.6357998629535 -8.22862400574501 rna
X42.2 3.43574955263493 -1.97434069676216 rna
X43.2 -1.61469779214504 -4.06252326531227 rna
X44.2 -9.86043498716 -8.31417479080971 rna
X45.2 -2.33048925599697 -4.5036667780381 rna
X46.2 -7.21141813001278 -6.17580427689369 rna
X47.2 -7.59627912244442 -6.47410168213661 rna
X48.2 23.3849320630109 0.925457577278059 rna
X49.2 -0.966182686897545 -3.31886519951637 rna
X0.4 23.457680247215 1.18705318408195 rna
X1.3 9.74333908357975 14.2393563790816 rna
X2.3 9.84079696932194 14.1718629403609 rna
X3.3 7.95204689302799 0.746175984908979 rna
X4.3 23.1608948926007 0.8498453898925 rna
X5.3 8.17651798525211 14.9073527856368 rna
X6.3 -7.74365422925594 16.549768786003 rna
X7.3 10.6177335003888 13.6440204186935 rna
X8.3 11.4492440442121 12.9169295831222 rna
X9.3 8.09474327364323 14.9053081079024 rna
X10.3 22.9273076275861 0.846524099876325 rna
X11.3 11.6249118069684 12.7314685388107 rna
X12.3 22.8684983471906 1.08558414416496 rna
X13.3 -14.828958966347 2.41161880927269 rna
X14.3 -3.03623268804195 -4.84393991989907 rna
X15.3 9.00118877687809 14.6288245721358 rna
X16.3 1.54685380258915 -2.02839543385323 rna
X17.3 6.575919649986 15.0968469186324 rna
X18.3 23.2912030438459 0.927938203384321 rna
X19.3 -14.5560574313128 3.9195669694442 rna
X20.3 -2.81542990407589 17.8909629388351 rna
X21.3 23.4670777539289 1.071611742546 rna
X22.3 11.4096617917096 12.9600814385909 rna
X23.3 6.86762573519108 14.9631999536056 rna
X24.3 23.0908208111798 1.22318051295463 rna
X25.3 9.62829830446598 3.76769385771934 rna
X26.3 23.0938344220197 0.917432884742658 rna
X27.3 -14.6576351901019 3.7355955644149 rna
X28.3 -1.60214964351299 17.71546779113 rna
X29.3 7.36260750093815 14.8631824059982 rna
X30.3 -14.5679964800799 3.91819129424278 rna
X31.3 8.89260914125797 2.15428123908226 rna
X32.3 -0.893269040199547 -3.42042960686501 rna
X33.3 2.82338335314152 -2.1345136360627 rna
X34.3 -12.9162535448993 -7.68442978424843 rna
X35.3 23.0147423962629 0.990272740890425 rna
X36.3 22.9649014691388 0.954842428733747 rna
X37.3 4.67850782671329 -1.34361203474816 rna
X38.3 -2.61621079644802 17.8499835534591 rna
X39.3 8.76741077700016 1.92858157592003 rna
X40.3 -1.88125524720791 17.3940108819503 rna
X41.3 23.3244805554425 1.1960230870742 rna
X42.3 -0.75010544857624 17.6422408624191 rna
X43.3 -14.3440880557025 4.11852965789024 rna
X44.3 23.3133149365461 0.912556151916426 rna
X45.3 -1.31082616052273 -3.67110433144386 rna
X46.3 -7.3559446116412 -6.38973106903847 rna
X47.3 9.89528324404118 3.6463678880233 rna
X48.3 23.7375970105207 -2.4793245987397 rna
X49.3 23.4093842724836 1.11584506468956 rna
X0.5 7.42062809267399 14.9295142694015 rna
X1.4 23.544106028465 1.60091839270775 rna
X2.4 7.82074215212223 0.633519510795515 rna
X3.4 23.0469956616437 0.981265406181257 rna
X4.4 23.0567345837629 0.935828666259687 rna
X5.4 23.2593693951642 0.876950006057661 rna
X6.4 23.332306406883 1.28176496463005 rna
X7.4 22.7640290478742 1.10579977469627 rna
X8.4 23.338877222923 1.46810660796348 rna
X9.4 -13.7921747942889 4.5045369668502 rna
X10.4 23.2527642468488 1.11742816405479 rna
X11.4 23.5039124707257 1.60185418563072 rna
X12.4 22.9589753369367 1.53486333327476 rna
X13.4 23.1578374127423 1.54327712493126 rna
X14.4 -1.67939827642086 -3.94795288605507 rna
X15.4 23.490810892967 1.38709269004051 rna
X16.4 23.4050584057843 1.7143655820388 rna
X17.4 -14.7984614153827 2.9398191972274 rna
X18.4 23.05704548159 1.98737607436363 rna
X19.4 9.1979260663068 2.69735727744285 rna
X20.4 23.5493588665998 1.50438223319237 rna
X21.4 23.5571179608381 1.60644231276695 rna
X22.4 23.2394681195295 1.18095765547935 rna
X23.4 23.4624390820539 1.84513864951317 rna
X24.4 23.4818177441632 1.55845032172386 rna
X25.4 23.361036799339 1.26893744902794 rna
X26.4 6.52389957704899 15.0625585122604 rna
X27.4 23.5294347027814 1.59460530715172 rna
X28.4 23.2826276043927 1.23002860980217 rna
X29.4 2.36178352632877 -2.05493082566078 rna
X30.4 23.3178487042463 1.79058227973167 rna
X31.4 23.2675538281476 1.72509155707542 rna
X32.4 0.446664712814064 5.50558648543541 rna
X33.4 -0.478771918031006 -3.00400032563027 rna
X34.4 23.3732056836164 1.62057409720604 rna
X35.4 23.5809483746564 1.67763076262657 rna
X36.4 23.1718564251935 2.05044947104637 rna
X37.4 -2.6147461911166 -4.65765275521095 rna
X38.4 22.5888352612531 1.10240028338615 rna
X39.4 23.0031190136945 1.90270481543724 rna
X40.4 23.3641324261701 1.15944300131981 rna
X41.4 23.6383958081281 1.5734554334182 rna
X42.4 23.0559716443097 2.08233676390831 rna
X43.4 23.1880727032697 1.92913232283775 rna
X44.4 23.5566315869367 1.64763293700401 rna
X45.4 -0.431133561345367 -3.15453400177773 rna
X46.4 23.486753962425 1.12376258807365 rna
X47.4 23.444138071922 1.89246187644188 rna
X48.4 -10.617478825661 -8.24895634217079 rna
X49.4 23.4674573163068 1.43447909789268 rna
X0.6 -1.03899512490871 -3.33945192856606 rna
X1.5 2.01186516085026 -2.04547562165077 rna
X2.5 -3.38406036100033 17.9837325616378 rna
X3.5 -7.10608051023129 17.4409354730148 rna
X4.5 -3.60827658376339 -5.17850889725502 rna
X5.5 -1.55858854255321 -3.83829631371315 rna
X6.5 6.51516392031071 -0.413526226709444 rna
X7.5 7.91911270418522 1.04913685755913 rna
X8.5 -0.768548481675415 -3.23078503174599 rna
X9.5 -8.8921618243182 -7.89700426621254 rna
X10.5 -2.25122008523586 -4.52903618378456 rna
X11.5 -3.50771186551693 -5.17705025238808 rna
X12.5 -9.36367557248714 -8.25724520249184 rna
X13.5 -13.3209509631121 -7.67199291748818 rna
X14.5 -13.5261711855853 -7.93236841721352 rna
X15.5 8.23597576418278 1.07060704665367 rna
X16.5 -2.29029689035061 17.7989562554855 rna
X17.5 23.314520380882 1.14713261561577 rna
X18.5 22.829075358299 1.48974810080711 rna
X19.5 -9.07504031858089 -8.18543877167519 rna
X20.5 8.98933746614811 2.34149561362449 rna
X21.5 -11.4366020937884 -8.32164921326454 rna
X22.5 8.12678196230289 14.9092229409713 rna
X23.5 -0.940462478014259 -3.43685140175636 rna
X24.5 10.7142138699567 13.5591071649093 rna
X25.5 -2.470990755173 -4.70643391175087 rna
X26.5 -2.46332917413357 -4.58357538742836 rna
X27.5 5.2697296361005 -0.831128989289362 rna
X28.5 -12.894274212929 -7.78422417206581 rna
X29.5 -14.602830388161 3.87477479415123 rna
X30.5 -3.73846123418453 18.1538337274093 rna
X31.5 -3.86776993474606 -5.28819908661659 rna
X32.5 -3.11646459302547 -5.19869818253334 rna
X33.5 -5.25369880399349 18.8311141534347 rna
X34.5 6.32091285982487 -0.0378279284935781 rna
X35.5 -5.6802887698138 -5.79844917816933 rna
X36.5 7.16916134157536 14.9147876306075 rna
X37.5 -0.188267656179695 -2.84050550026711 rna
X38.5 2.94431736269352 -2.15288331074532 rna
X39.5 0.150569222358437 -2.6977106527787 rna
X40.5 9.07169391909 14.6802800698775 rna
X41.5 4.71003200807926 -1.2489442424279 rna
X42.5 -7.87067697248104 -6.28469337982949 rna
X43.5 -2.59632179937008 -4.98657764954384 rna
X44.5 5.97637226381657 -0.469196234772761 rna
X45.5 -9.37370727262142 -8.17243685288246 rna
X46.5 8.02745010652897 0.850857595970075 rna
X47.5 1.65209891596195 -2.24584652943428 rna
X48.5 9.51191189089176 3.89295325713341 rna
X49.5 22.8575349072492 1.09251056151573 rna
X0.7 23.1609025219953 1.82460580306236 rna
X1.6 -3.56579802236202 -5.21616425080116 rna
X2.6 -0.89392624101284 -3.49059643311318 rna
X3.6 -5.58209989270809 -5.80084909958657 rna
X4.6 -0.435832448812752 -3.06899656815346 rna
X5.6 -2.6312963744128 17.8534587426681 rna
X6.6 2.39422848024723 -1.99523009819802 rna
X7.6 0.129398248580666 -2.87936749024208 rna
X8.6 3.86432077684757 -2.03055789036568 rna
X9.6 -7.68060872754696 -6.57211603684242 rna
X10.6 -1.28742126426342 -3.95910157723244 rna
X11.6 -9.78264377317074 -8.35552658600624 rna
X12.6 10.6379981259381 13.6032079263229 rna
X13.6 -7.66153762540463 -6.55269779724892 rna
X14.6 7.11128952303287 14.8630918069381 rna
X15.6 0.678915403274269 -2.5325871901017 rna
X16.6 -8.74608276090267 -7.84055819077309 rna
X17.6 -3.76437185010555 18.1597617669601 rna
