Dim1,Dim2,Dataset
14.30864528,-0.422664539,Myoblast_human
13.38461402,-0.767925815,Myoblast_human
12.29578879,-0.146777601,Myoblast_human
12.13197234,-0.398428903,Myoblast_human
13.14078811,-0.924669878,Myoblast_human
10.53464416,0.779290243,Myoblast_human
1.735689669,-7.464751319,Myoblast_human
4.993166475,2.899264737,Myoblast_human
13.43064979,-0.119844453,Myoblast_human
13.83602336,-0.751650648,Myoblast_human
24.10367682,-15.67757566,Stromal cell_Ccl11 high(Uterus)
13.82895663,0.48927535,Stromal cell_Ccl11 high(Uterus)
12.39448836,-1.190606193,Stromal cell_Ccl11 high(Uterus)
11.10118392,-1.547111349,Stromal cell_Ccl11 high(Uterus)
13.00072387,-0.380685554,Stromal cell_Ccl11 high(Uterus)
11.17018893,1.857598467,Stromal cell_Ccl11 high(Uterus)
10.28202346,-2.301746444,Stromal cell_Ccl11 high(Uterus)
13.22971442,-0.083484554,Stromal cell_Ccl11 high(Uterus)
9.435858755,-3.168086605,Stromal cell_Ccl11 high(Uterus)
23.8896704,-15.4443012,Stromal cell_Ccl11 high(Uterus)
14.19803718,-0.850974397,Stromal cell_Ccl11 high(Uterus)
13.82628634,-1.178955273,Stromal cell_Ccl11 high(Uterus)
13.01885322,1.350828453,Stromal cell_Ccl11 high(Uterus)
13.78928664,-1.090447144,Stromal cell_Ccl11 high(Uterus)
15.118413,-0.479337679,Stromal cell_Ccl11 high(Uterus)
15.07309058,0.353797688,Stromal cell_Ccl11 high(Uterus)
23.89243987,-15.41263826,Stromal cell_Ccl11 high(Uterus)
11.46069816,-0.499362068,Stromal cell_Ccl11 high(Uterus)
11.11195472,-2.338416652,Stromal cell_Ccl11 high(Uterus)
24.02460006,-15.40635736,Stromal cell_Ccl11 high(Uterus)
15.45662978,1.366566821,Stromal cell_Ccl11 high(Uterus)
13.0877457,-0.643001513,Stromal cell_Ccl11 high(Uterus)
23.93042663,-15.61057051,Stromal cell_Ccl11 high(Uterus)
12.89844325,1.789303227,Stromal cell_Ccl11 high(Uterus)
15.61562255,-0.003543442,Stromal cell_Ccl11 high(Uterus)
14.09528735,-0.832230405,Stromal cell_Ccl11 high(Uterus)
10.26050952,-4.629287796,Stromal cell_Ccl11 high(Uterus)
13.92195514,-0.652046637,Stromal cell_Ccl11 high(Uterus)
12.28493312,-0.399242447,Stromal cell_Ccl11 high(Uterus)
15.38438132,0.207683413,Stromal cell_Ccl11 high(Uterus)
15.56360534,1.454775258,Stromal cell_Ccl11 high(Uterus)
15.50653842,0.115274607,Stromal cell_Ccl11 high(Uterus)
12.5443888,0.837599559,Stromal cell_Ccl11 high(Uterus)
12.1813164,0.188656418,Stromal cell_Ccl11 high(Uterus)
12.98096278,1.210139556,Stromal cell_Ccl11 high(Uterus)
13.10168841,-1.903795199,Stromal cell_Ccl11 high(Uterus)
13.87470916,0.445111855,Stromal cell_Ccl11 high(Uterus)
14.19018176,0.410990222,Stromal cell_Ccl11 high(Uterus)
15.12316039,0.25436364,Stromal cell_Ccl11 high(Uterus)
16.86227897,-1.550021128,Stromal cell_Ccl11 high(Uterus)
16.84177688,-1.527902798,Stromal cell_Ccl11 high(Uterus)
12.13066009,0.930686458,Stromal cell_Ccl11 high(Uterus)
13.08950332,-1.946742849,Stromal cell_Ccl11 high(Uterus)
14.38259795,-0.293141381,Stromal cell_Ccl11 high(Uterus)
14.50467971,-0.404786573,Stromal cell_Ccl11 high(Uterus)
15.25660804,-0.210888685,Stromal cell_Ccl11 high(Uterus)
13.32775405,0.147976382,Stromal cell_Ccl11 high(Uterus)
14.42827037,-0.184311883,Stromal cell_Ccl11 high(Uterus)
23.90357688,-15.4907213,Stromal cell_Ccl11 high(Uterus)
13.41359237,-1.354983286,Stromal cell_Ccl11 high(Uterus)
12.18189338,1.189421101,Endothelial cell_Tm4sf1 high(Uterus)
24.04123977,-15.58110102,Endothelial cell_Tm4sf1 high(Uterus)
8.043382673,-0.940157728,Endothelial cell_Tm4sf1 high(Uterus)
10.38497832,0.165353654,Endothelial cell_Tm4sf1 high(Uterus)
24.01623824,-15.444923,Endothelial cell_Tm4sf1 high(Uterus)
24.10042289,-15.50340708,Endothelial cell_Tm4sf1 high(Uterus)
13.89312079,0.457693561,Endothelial cell_Tm4sf1 high(Uterus)
23.89598945,-15.34091242,Endothelial cell_Tm4sf1 high(Uterus)
10.6111584,0.62168835,Endothelial cell_Tm4sf1 high(Uterus)
13.87013438,-0.143833832,Endothelial cell_Tm4sf1 high(Uterus)
12.83268359,-0.322918729,Endothelial cell_Tm4sf1 high(Uterus)
8.38414958,-2.220755653,Endothelial cell_Tm4sf1 high(Uterus)
9.549309759,-3.996139125,Endothelial cell_Tm4sf1 high(Uterus)
8.079357176,-2.30441411,Endothelial cell_Tm4sf1 high(Uterus)
24.0290232,-15.56412275,Endothelial cell_Tm4sf1 high(Uterus)
6.685589342,-5.894591884,Endothelial cell_Tm4sf1 high(Uterus)
10.87215331,-4.281222896,Endothelial cell_Tm4sf1 high(Uterus)
9.750471144,-2.975872354,Endothelial cell_Tm4sf1 high(Uterus)
8.931983023,-3.37248929,Endothelial cell_Tm4sf1 high(Uterus)
9.797721891,-2.448464231,Endothelial cell_Tm4sf1 high(Uterus)
11.18711379,-3.919795351,Endothelial cell_Tm4sf1 high(Uterus)
11.32812884,-3.341679887,Endothelial cell_Tm4sf1 high(Uterus)
8.333542852,-5.629038887,Endothelial cell_Tm4sf1 high(Uterus)
11.92842963,-1.387996749,Endothelial cell_Tm4sf1 high(Uterus)
23.05819037,-15.04179056,Endothelial cell_Tm4sf1 high(Uterus)
12.06260779,-0.973871188,Endothelial cell_Tm4sf1 high(Uterus)
10.43862346,-0.449055867,Endothelial cell_Tm4sf1 high(Uterus)
12.07601359,-1.84336348,Endothelial cell_Tm4sf1 high(Uterus)
11.51632026,0.683088465,Endothelial cell_Tm4sf1 high(Uterus)
11.68838408,0.508895083,Endothelial cell_Tm4sf1 high(Uterus)
12.75651649,-1.160397009,Endothelial cell_Tm4sf1 high(Uterus)
12.04030612,-2.667568759,Endothelial cell_Tm4sf1 high(Uterus)
10.70523837,-1.800022916,Endothelial cell_Tm4sf1 high(Uterus)
13.9061766,1.637155576,Endothelial cell_Tm4sf1 high(Uterus)
15.0124245,-0.444614814,Endothelial cell_Tm4sf1 high(Uterus)
14.38868526,-0.352275149,Endothelial cell_Tm4sf1 high(Uterus)
11.21949294,-3.894203977,Endothelial cell_Tm4sf1 high(Uterus)
13.59288409,-1.306800918,Endothelial cell_Tm4sf1 high(Uterus)
23.65998366,-15.23949964,Endothelial cell_Tm4sf1 high(Uterus)
23.99008658,-15.70011862,Endothelial cell_Tm4sf1 high(Uterus)
15.21984199,1.379854484,Endothelial cell_Tm4sf1 high(Uterus)
8.542587309,-3.859183387,Endothelial cell_Tm4sf1 high(Uterus)
10.71434978,-1.697951631,Endothelial cell_Tm4sf1 high(Uterus)
13.60708621,0.475753351,Endothelial cell_Tm4sf1 high(Uterus)
6.105708628,-1.665431814,Endothelial cell_Tm4sf1 high(Uterus)
11.52262118,-2.045605735,Endothelial cell_Tm4sf1 high(Uterus)
7.983477621,-3.6126159,Endothelial cell_Tm4sf1 high(Uterus)
14.26932624,-0.597254352,Endothelial cell_Tm4sf1 high(Uterus)
8.290477781,-5.868846492,Endothelial cell_Tm4sf1 high(Uterus)
13.96745971,0.18917024,Endothelial cell_Tm4sf1 high(Uterus)
14.14348701,-0.870883839,Stromal cell_Hsd11b2 high(Uterus)
15.02050975,0.121515757,Stromal cell_Hsd11b2 high(Uterus)
6.274057894,-0.267465518,Stromal cell_Hsd11b2 high(Uterus)
6.619256525,-1.243698434,Stromal cell_Hsd11b2 high(Uterus)
15.00657657,-0.443592296,Stromal cell_Hsd11b2 high(Uterus)
14.31534007,-0.412373529,Stromal cell_Hsd11b2 high(Uterus)
24.06771377,-15.60627039,Stromal cell_Hsd11b2 high(Uterus)
12.38663772,-2.26102169,Stromal cell_Hsd11b2 high(Uterus)
13.33281234,1.45213358,Stromal cell_Hsd11b2 high(Uterus)
23.0590029,-15.02254541,Stromal cell_Hsd11b2 high(Uterus)
13.77858737,-0.155471326,Stromal cell_Hsd11b2 high(Uterus)
16.14163306,-0.660670058,Stromal cell_Hsd11b2 high(Uterus)
11.28316215,-2.015784578,Stromal cell_Hsd11b2 high(Uterus)
13.24389651,0.370719089,Stromal cell_Hsd11b2 high(Uterus)
13.023716,0.268946006,Stromal cell_Hsd11b2 high(Uterus)
8.971495657,-1.974321441,Stromal cell_Hsd11b2 high(Uterus)
23.86103538,-15.41097792,Stromal cell_Hsd11b2 high(Uterus)
12.02853683,-1.813760714,Stromal cell_Hsd11b2 high(Uterus)
12.44163421,-0.108675198,Stromal cell_Hsd11b2 high(Uterus)
15.12105659,1.353331013,Stromal cell_Hsd11b2 high(Uterus)
13.11624721,-0.923511998,Stromal cell_Hsd11b2 high(Uterus)
9.176670103,0.053058135,Stromal cell_Hsd11b2 high(Uterus)
24.0666056,-15.59440477,Stromal cell_Hsd11b2 high(Uterus)
4.293257265,-3.24422677,Stromal cell_Hsd11b2 high(Uterus)
13.27320006,-1.62961431,Stromal cell_Hsd11b2 high(Uterus)
11.82981017,-0.015187589,Stromal cell_Hsd11b2 high(Uterus)
14.40821937,-0.354054586,Stromal cell_Hsd11b2 high(Uterus)
11.64953616,-3.227900819,Stromal cell_Hsd11b2 high(Uterus)
15.25073245,0.274677111,Stromal cell_Hsd11b2 high(Uterus)
14.18595698,-0.767471389,Stromal cell_Hsd11b2 high(Uterus)
13.22784045,-0.447025256,Stromal cell_Hsd11b2 high(Uterus)
15.41337588,-0.180104644,Stromal cell_Hsd11b2 high(Uterus)
24.08802321,-15.43329008,Stromal cell_Hsd11b2 high(Uterus)
11.55027011,0.703641816,Stromal cell_Hsd11b2 high(Uterus)
11.6971989,2.02229683,Stromal cell_Hsd11b2 high(Uterus)
12.47346595,-0.161199064,Stromal cell_Hsd11b2 high(Uterus)
9.274682074,-3.051096515,Stromal cell_Hsd11b2 high(Uterus)
14.01199153,1.524772926,Stromal cell_Hsd11b2 high(Uterus)
14.76412585,1.446409626,Stromal cell_Hsd11b2 high(Uterus)
13.23328116,-1.674576001,Stromal cell_Hsd11b2 high(Uterus)
12.74721435,-0.688685791,Stromal cell_Hsd11b2 high(Uterus)
13.75042251,-1.08760281,Stromal cell_Hsd11b2 high(Uterus)
15.19577315,0.364506765,Stromal cell_Hsd11b2 high(Uterus)
16.77427772,-1.430116372,Stromal cell_Hsd11b2 high(Uterus)
14.14449409,0.413870378,Stromal cell_Hsd11b2 high(Uterus)
10.58632567,1.895168825,Stromal cell_Hsd11b2 high(Uterus)
10.68786147,-1.765100197,Stromal cell_Hsd11b2 high(Uterus)
24.05406478,-15.58193453,Stromal cell_Hsd11b2 high(Uterus)
9.586778669,-2.118981914,Stromal cell_Hsd11b2 high(Uterus)
11.74308303,-3.024736242,Stromal cell_Hsd11b2 high(Uterus)
14.31546405,-0.385399119,Stromal cell_Has1 high(Uterus)
23.94590476,-15.60444124,Stromal cell_Has1 high(Uterus)
8.197396307,-2.765884714,Stromal cell_Has1 high(Uterus)
14.28325274,-0.47396882,Stromal cell_Has1 high(Uterus)
13.73951247,-1.201229171,Stromal cell_Has1 high(Uterus)
12.40267661,-2.183201627,Stromal cell_Has1 high(Uterus)
14.38100627,1.247328086,Stromal cell_Has1 high(Uterus)
11.6217356,-1.197536067,Stromal cell_Has1 high(Uterus)
13.09574225,-0.902254896,Stromal cell_Has1 high(Uterus)
13.77194407,-1.137543039,Stromal cell_Has1 high(Uterus)
13.50640586,-0.735007362,Stromal cell_Has1 high(Uterus)
7.369945555,-3.450259046,Stromal cell_Has1 high(Uterus)
15.12967017,-0.48261209,Stromal cell_Has1 high(Uterus)
11.06520465,-1.558612184,Stromal cell_Has1 high(Uterus)
10.21737006,-3.734448032,Stromal cell_Has1 high(Uterus)
15.544364,0.042209978,Stromal cell_Has1 high(Uterus)
15.52511123,0.014675446,Stromal cell_Has1 high(Uterus)
11.81436828,0.066638327,Stromal cell_Has1 high(Uterus)
23.92908004,-15.49566515,Stromal cell_Has1 high(Uterus)
23.95827201,-15.49334104,Stromal cell_Has1 high(Uterus)
