Dim1,Dim2,Dataset
-11.82567878,6.243460098,H1ESC
-12.2294168,6.109633365,H1ESC
-12.13069435,6.261279503,H1ESC
-12.0202684,6.318765083,H1ESC
6.334048791,8.023903766,H1ESC
-13.82839103,-4.824975571,H1ESC
-12.2188911,6.153841415,H1ESC
5.259167714,7.23000423,H1ESC
-13.46942611,2.875733295,H1ESC
5.267372174,5.600181022,H1ESC
-3.791832643,12.47540561,H1ESC
-12.14454361,6.29628841,H1ESC
-11.85870357,6.177432457,H1ESC
-11.91835304,6.229751983,H1ESC
-11.78769489,6.172980228,H1ESC
5.90333323,9.12178413,H1ESC
-12.12487979,6.491771618,H1ESC
-12.10461612,6.34670488,H1ESC
-12.18421741,6.442146221,H1ESC
6.529179616,8.227801243,H1ESC
6.975417656,0.723526636,H1ESC
-12.24025245,6.173326412,H1ESC
6.593863053,8.373232761,H1ESC
-9.220016437,-1.120232543,H1ESC
-7.172599273,-6.954620442,H1ESC
-12.29777618,6.049640575,H1ESC
-9.92523952,13.62008754,H1ESC
-12.11871429,6.556735435,H1ESC
-11.79410453,6.17927734,H1ESC
-12.29152103,6.117673794,H1ESC
-12.20984359,6.064345756,H1ESC
-12.25649448,7.194687286,H1ESC
-12.26991458,6.062664905,H1ESC
-12.27519603,7.247264782,H1ESC
6.189955754,7.308855453,H1ESC
5.660537285,5.406283298,H1ESC
6.371647877,0.332743386,H1ESC
5.26185183,7.868786732,H1ESC
-12.27887054,7.263228813,H1ESC
6.080171628,8.171254078,H1ESC
5.722472233,7.146873871,H1ESC
-12.2347364,7.031835953,H1ESC
-12.20882888,6.88976709,H1ESC
-12.1040134,6.367774406,H1ESC
5.363604588,8.984096447,H1ESC
6.12358622,7.25693647,H1ESC
-12.2429914,6.027106682,H1ESC
-12.22102733,6.144881645,H1ESC
-12.19409748,6.833542267,H1ESC
-12.30767627,6.061140457,H1ESC
-12.3256435,5.99843494,H1ESC
-12.20941825,6.157928387,H1ESC
-11.75643631,6.181398311,H1ESC
6.748313469,8.077541271,H1ESC
4.110826058,8.321422497,H1ESC
-12.16149993,6.580773273,H1ESC
-6.847434478,-2.213577589,H1ESC
6.091125054,7.103586593,H1ESC
6.206870122,7.034258762,H1ESC
5.980360074,5.669800201,H1ESC
5.924459977,8.888169208,H1ESC
-12.14946266,6.239316383,H1ESC
6.348762555,8.81567947,H1ESC
6.296939416,7.264691273,H1ESC
6.300651593,6.679281154,H1ESC
-12.31380554,6.053110519,H1ESC
-11.77072044,6.178716102,H1ESC
4.592087788,6.39779512,H1ESC
6.065726323,7.100103298,H1ESC
-12.15829273,6.618629375,H1ESC
6.846964879,8.471274296,H1ESC
-13.78013607,-4.790987572,H1ESC
6.732615037,9.762357632,H1ESC
-12.23474975,6.144852558,H1ESC
4.47350697,7.375133434,H1ESC
-12.25027748,6.082201401,H1ESC
6.373103184,7.752599636,H1ESC
5.930929703,8.359337726,H1ESC
-12.22937389,6.12717382,H1ESC
-11.93947692,6.278143326,H1ESC
5.736666245,5.037081638,H1ESC
-12.0733871,6.377106109,H1ESC
5.952837033,6.286257187,H1ESC
-12.13021656,6.449639717,H1ESC
-12.10876174,6.414804855,H1ESC
-12.16531845,6.193791786,H1ESC
5.117825074,8.682804027,Stromal cell_Ccl11 high(Uterus)
4.262025399,8.272519031,Stromal cell_Ccl11 high(Uterus)
4.091189427,7.88153545,Stromal cell_Ccl11 high(Uterus)
4.925007386,8.081252971,Stromal cell_Ccl11 high(Uterus)
4.129508538,7.939489284,Stromal cell_Ccl11 high(Uterus)
5.305017037,8.145289341,Stromal cell_Ccl11 high(Uterus)
5.565125031,8.302571216,Stromal cell_Ccl11 high(Uterus)
4.069758458,7.854219356,Stromal cell_Ccl11 high(Uterus)
4.714987797,8.26948444,Stromal cell_Ccl11 high(Uterus)
4.242395444,8.163562694,Stromal cell_Ccl11 high(Uterus)
4.136913342,7.708661953,Stromal cell_Ccl11 high(Uterus)
4.208681626,8.198213497,Stromal cell_Ccl11 high(Uterus)
4.070837063,7.977988163,Stromal cell_Ccl11 high(Uterus)
4.784285588,8.590780178,Stromal cell_Ccl11 high(Uterus)
4.273528142,8.335431972,Stromal cell_Ccl11 high(Uterus)
4.135329289,8.085986057,Stromal cell_Ccl11 high(Uterus)
4.145260377,7.890222469,Stromal cell_Ccl11 high(Uterus)
4.60322432,8.328235546,Stromal cell_Ccl11 high(Uterus)
5.120924038,8.272713581,Stromal cell_Ccl11 high(Uterus)
4.385343594,8.371696392,Stromal cell_Ccl11 high(Uterus)
4.462214989,8.421767155,Stromal cell_Ccl11 high(Uterus)
4.211624188,8.098161617,Stromal cell_Ccl11 high(Uterus)
4.559541268,8.428581158,Stromal cell_Ccl11 high(Uterus)
4.481447262,8.348777691,Stromal cell_Ccl11 high(Uterus)
4.407558961,8.04683868,Stromal cell_Ccl11 high(Uterus)
4.46282391,8.071562687,Stromal cell_Ccl11 high(Uterus)
4.23129992,8.062595287,Stromal cell_Ccl11 high(Uterus)
4.429660363,8.0663232,Stromal cell_Ccl11 high(Uterus)
4.68015675,8.459152141,Stromal cell_Ccl11 high(Uterus)
5.586525483,8.990778843,Stromal cell_Ccl11 high(Uterus)
4.254454655,8.315956035,Stromal cell_Ccl11 high(Uterus)
5.785636468,8.598425785,Stromal cell_Ccl11 high(Uterus)
5.021600289,8.53174583,Stromal cell_Ccl11 high(Uterus)
4.183665795,8.086657444,Stromal cell_Ccl11 high(Uterus)
4.498918576,8.350857654,Stromal cell_Ccl11 high(Uterus)
4.443663163,7.716310421,Stromal cell_Ccl11 high(Uterus)
4.376106305,8.224720875,Stromal cell_Ccl11 high(Uterus)
4.670987172,8.552227894,Stromal cell_Ccl11 high(Uterus)
4.58555655,8.150610843,Stromal cell_Ccl11 high(Uterus)
4.195764584,8.20366756,Stromal cell_Ccl11 high(Uterus)
4.197976155,7.884318271,Stromal cell_Ccl11 high(Uterus)
4.384499116,8.449561039,Stromal cell_Ccl11 high(Uterus)
4.778974099,8.32017223,Stromal cell_Ccl11 high(Uterus)
5.406105561,8.685342708,Stromal cell_Ccl11 high(Uterus)
4.219649357,8.176366726,Stromal cell_Ccl11 high(Uterus)
4.201614899,7.790777126,Stromal cell_Ccl11 high(Uterus)
4.404252095,8.273262897,Stromal cell_Ccl11 high(Uterus)
4.772095246,8.582389751,Stromal cell_Ccl11 high(Uterus)
4.174730343,8.077206531,Stromal cell_Ccl11 high(Uterus)
4.237127347,8.213707844,Stromal cell_Ccl11 high(Uterus)
0.383478356,4.016492763,Endothelial cell_Tm4sf1 high(Uterus)
0.09080371,3.859776417,Endothelial cell_Tm4sf1 high(Uterus)
