Dim1	Dim2	Dataset
12.64841594	-5.916475714	Endothelial_mouse
-3.697717297	0.679367661	Endothelial_mouse
13.65692366	-5.930467546	Endothelial_mouse
3.097587717	-5.723030031	Endothelial_mouse
-0.013888116	4.208156168	Endothelial_mouse
4.668863666	-13.09530014	Endothelial_mouse
3.688825023	-6.629201353	Endothelial_mouse
2.743625295	-5.600498617	Endothelial_mouse
2.927090538	-7.021914423	Endothelial_mouse
4.105758083	-5.846830309	Endothelial_mouse
2.862617147	3.632249891	Endothelial_mouse
13.1242565	-6.003585279	Endothelial_mouse
3.419392002	5.029848635	Endothelial_mouse
11.93489112	-5.770716131	Endothelial_mouse
-1.620000946	-1.247787178	Endothelial_mouse
3.437154901	-5.946045339	Endothelial_mouse
2.386090887	4.57428652	Endothelial_mouse
3.902152669	3.032875836	Endothelial_mouse
2.705192936	4.430136263	Endothelial_mouse
-3.950892079	1.717415511	Endothelial_mouse
3.701872718	3.076428949	Endothelial_mouse
-2.4454795	0.541337907	Endothelial_mouse
-3.618144143	2.426858484	Endothelial_mouse
2.213029516	6.433061182	Endothelial_mouse
-0.220805395	0.280186608	Endothelial_mouse
4.717185867	-7.073780001	Endothelial_mouse
-0.668730366	4.114616453	Endothelial_mouse
-13.76443921	-5.001384676	Endothelial_mouse
2.22465719	6.507038653	Endothelial_mouse
6.153758419	-13.672584	Endothelial_mouse
12.36343611	-6.310428083	Endothelial_mouse
13.07309092	-6.047084749	Endothelial_mouse
-1.778259146	0.769305706	Endothelial_mouse
3.778936279	3.203838884	Endothelial_mouse
4.251574409	-13.96578449	Endothelial_mouse
6.134280574	-13.82990688	Endothelial_mouse
1.864129555	3.776855528	Endothelial_mouse
-1.212309945	4.467434466	Endothelial_mouse
4.70492543	-6.160640657	Endothelial_mouse
2.810094011	-6.285990179	Endothelial_mouse
5.192409885	4.499226629	Endothelial_mouse
11.8235134	-6.361246527	Endothelial_mouse
3.110189807	4.843607008	Endothelial_mouse
7.961571586	5.792377531	Endothelial_mouse
13.09566058	-6.146420896	Endothelial_mouse
3.83019222	-5.808305204	Endothelial_mouse
3.939192665	-6.734799803	Endothelial_mouse
2.042163622	-5.361311376	Endothelial_mouse
4.079442871	-12.88196605	Endothelial_mouse
6.287409675	-13.75750393	Endothelial_mouse
2.083680284	-6.459825933	Endothelial_mouse
-2.912124741	3.243989765	Endothelial_mouse
-2.229335892	-0.680270493	Endothelial_mouse
4.160433185	3.987385094	Endothelial_mouse
3.211222541	5.814503252	Endothelial_mouse
2.415920627	-5.047601641	Endothelial_mouse
3.331812751	-5.389459074	Endothelial_mouse
12.56051387	-6.422201574	Endothelial_mouse
4.667931449	-13.87377399	Endothelial_mouse
-1.364624011	0.600882947	Endothelial_mouse
0.102709849	0.205948129	Endothelial_mouse
2.716559303	6.623056471	Endothelial_mouse
0.056791077	6.284026682	Endothelial_mouse
3.743380201	2.94384247	Endothelial_mouse
-0.949825752	0.646469295	Endothelial_mouse
2.27022661	-5.380491197	Endothelial_mouse
2.052822959	-5.576748789	Endothelial_mouse
4.650634658	-13.07313007	Endothelial_mouse
4.247300518	-6.505002916	Endothelial_mouse
-3.650691855	2.591782629	Endothelial_mouse
3.388322961	-13.55476326	Endothelial_mouse
4.788782489	5.285497248	Endothelial_mouse
2.561463726	-4.561803282	Endothelial_mouse
4.283755195	-7.328980387	Endothelial_mouse
3.282037866	3.542061627	Endothelial_mouse
-3.997966874	2.040602505	Endothelial_mouse
-1.156009424	0.367342054	Endothelial_mouse
12.18400229	-6.295000494	Endothelial_mouse
4.483400714	-6.750797689	Endothelial_mouse
0.656289709	-4.38303274	Endothelial_mouse
0.367145848	6.62815243	Endothelial_mouse
4.342955005	-4.429179132	Endothelial_mouse
5.563029182	-13.23782295	Endothelial_mouse
6.193723571	-13.7890057	Endothelial_mouse
3.322219265	5.078343928	Endothelial_mouse
1.43360306	-5.130957544	Endothelial_mouse
3.474167955	-13.25071281	Endothelial_mouse
-1.706265438	4.289236605	Endothelial_mouse
0.563141954	-5.559104383	Endothelial_mouse
10.17294158	5.262288153	Endothelial_mouse
3.269527566	6.695288241	Endothelial_mouse
-3.185711968	0.090239023	Endothelial_mouse
12.12168158	-6.643588484	Endothelial_mouse
6.225411785	-13.86774486	Endothelial_mouse
5.951978576	-13.59775966	Endothelial_mouse
4.184553993	-6.156431139	Endothelial_mouse
-1.970302212	2.868133843	Endothelial_mouse
3.153672826	4.636962473	Endothelial_mouse
