	Dim1	Dim2	Dataset
V2	6.041182546	9.933397013	PBMC_human
V3	12.64021447	6.245243746	PBMC_human
V4	-11.42484042	0.446719486	PBMC_human
V5	11.08337453	-7.417805475	PBMC_human
V6	3.08680418	-11.55778627	PBMC_human
V7	6.692722826	2.097075182	PBMC_human
V8	2.832857875	-11.21550016	PBMC_human
V9	0.768028466	2.817517954	PBMC_human
V10	-0.991306217	7.316955763	PBMC_human
V11	-0.531684609	10.627629	PBMC_human
V12	-2.728106709	10.2837493	PBMC_human
V13	-2.620510073	8.740359026	PBMC_human
V14	-2.842029067	11.07936831	PBMC_human
V15	1.391274361	1.658287603	PBMC_human
V16	12.66252664	6.222349841	PBMC_human
V17	4.302525072	-12.3790925	PBMC_human
V18	12.60108998	6.288841444	PBMC_human
V19	3.478292255	-11.02059297	PBMC_human
V20	-11.78387973	-0.398403247	PBMC_human
V21	5.714928655	9.015960413	PBMC_human
V22	-11.44779441	1.897566277	PBMC_human
V23	5.248699216	9.486424166	PBMC_human
V24	3.269175319	-11.40255956	PBMC_human
V25	-0.135896073	7.112083155	PBMC_human
V26	-1.223900171	7.319391924	PBMC_human
V27	-12.82560107	-0.140696984	PBMC_human
V28	3.269284515	-10.77119474	PBMC_human
V29	4.733142881	-11.69698076	PBMC_human
V30	-12.0683541	-0.540174258	PBMC_human
V31	0.814217298	0.304294306	PBMC_human
V32	-3.602837773	8.127567011	PBMC_human
V33	3.481408147	-11.30389718	PBMC_human
V34	-11.83924052	0.750658709	PBMC_human
V35	7.31434205	9.946138102	PBMC_human
V36	0.454802184	-7.649366659	PBMC_human
V37	0.793194978	-0.618922305	PBMC_human
V38	-3.293052407	10.62190314	PBMC_human
V39	1.702014474	-10.25665979	PBMC_human
V40	4.473542718	-12.02904062	PBMC_human
V41	2.71816924	-10.66903619	PBMC_human
V42	3.229224233	-11.60428171	PBMC_human
V43	3.014290599	-11.51866559	PBMC_human
V44	5.873182325	9.72110911	PBMC_human
V45	2.24867299	-10.85773591	PBMC_human
V46	0.900494246	0.603875417	PBMC_human
V47	3.58582714	-11.7429469	PBMC_human
V48	7.323047666	10.08365889	PBMC_human
V49	1.980573682	-10.59027795	PBMC_human
V50	-11.88401935	-0.457362857	PBMC_human
V51	-0.067325691	7.152226645	PBMC_human
V52	12.65556195	6.231016356	PBMC_human
V53	-12.81586883	0.082124758	PBMC_human
V54	3.154070882	-11.6034234	PBMC_human
V55	5.06810811	-12.1837819	PBMC_human
V56	0.970703213	2.704108197	PBMC_human
V57	-1.18210289	5.204514223	PBMC_human
V58	1.639945178	2.680496174	PBMC_human
V59	2.544689445	-11.17519121	PBMC_human
V60	0.682904272	1.743094164	PBMC_human
V61	3.434351949	-11.36280851	PBMC_human
V62	3.506945877	-11.14063768	PBMC_human
V63	5.271382837	9.742840487	PBMC_human
V64	5.64762166	9.320170123	PBMC_human
V65	-11.06429908	0.962175447	PBMC_human
V66	2.410843877	-11.03082971	PBMC_human
V67	-10.37968967	-0.139578637	PBMC_human
V68	0.201539917	7.361408907	PBMC_human
V69	4.476755647	-11.75876264	PBMC_human
V70	12.66112569	6.221439082	PBMC_human
V71	-13.19184634	-0.385750253	PBMC_human
V72	-1.047824235	7.298802096	PBMC_human
V73	2.020251064	-10.45580129	PBMC_human
V74	-6.632483454	-6.292743963	PBMC_human
V75	6.381491212	10.21129294	PBMC_human
V76	-0.17709917	1.703628618	PBMC_human
V77	4.637844114	-12.02234296	PBMC_human
V78	2.814880161	0.931594807	PBMC_human
V79	7.272450475	10.07094546	PBMC_human
V80	7.418698816	10.0064952	PBMC_human
V81	6.872475652	-3.609099668	PBMC_human
V82	-0.902935417	7.331353384	PBMC_human
V83	-12.71138427	-0.452637312	PBMC_human
V84	0.86875513	0.490061659	PBMC_human
V85	-1.173978777	7.105025488	PBMC_human
V86	2.796900539	-11.39858083	PBMC_human
V87	3.603762655	-11.14254884	PBMC_human
V88	1.304997234	1.232465464	PBMC_human
V89	12.62580445	6.262694079	PBMC_human
V90	-0.109996067	7.150458056	PBMC_human
V91	-12.55743072	-0.629422051	PBMC_human
V92	12.68458798	6.20140906	PBMC_human
V93	12.65735581	6.227308947	PBMC_human
V94	9.320855646	0.390573341	PBMC_human
V95	3.998407869	-11.73919706	PBMC_human
V96	7.422744302	9.880577761	PBMC_human
V97	4.65029767	-12.07724122	PBMC_human
V98	-11.75824115	-0.322463941	PBMC_human
V99	0.330025463	0.635213214	PBMC_human
V100	3.845026044	-11.80943803	PBMC_human
V101	6.093926935	9.529827792	PBMC_human
V102	-12.04011962	0.551413852	PBMC_human
V103	-2.842581006	10.85051222	PBMC_human
V104	2.632269649	-10.68647794	PBMC_human
V105	3.630734233	-11.41055803	PBMC_human
V106	1.015965251	-0.094133225	PBMC_human
V107	5.566684274	9.964286524	PBMC_human
V108	2.065278558	0.69243868	PBMC_human
V109	4.837905435	-11.87601785	PBMC_human
V110	3.645674734	-11.76826124	PBMC_human
V111	-13.04006717	-0.313067001	PBMC_human
V112	-13.13289496	-0.411095214	PBMC_human
V113	2.678898363	-10.30323915	PBMC_human
V114	3.212625055	-10.92198305	PBMC_human
V115	-11.35083434	-0.316837691	PBMC_human
V116	4.880416421	-12.0966628	PBMC_human
V117	3.480908184	-11.48295049	PBMC_human
V118	-2.651094408	11.74979468	PBMC_human
V119	3.087804584	-10.63514833	PBMC_human
V120	2.455637006	2.20986982	PBMC_human
V121	6.835496931	9.538170535	PBMC_human
V122	3.082850484	-10.64200811	PBMC_human
V123	-0.582888396	7.11440106	PBMC_human
V124	-11.57366893	0.764301855	PBMC_human
V125	4.405390768	-12.20399598	PBMC_human
V126	-11.01485869	1.680554825	PBMC_human
V127	4.640764265	-12.07307176	PBMC_human
V128	3.32439187	-10.86869363	PBMC_human
V129	-1.663683982	7.185863215	PBMC_human
V130	-0.156437026	7.229131895	PBMC_human
V131	-12.04622123	0.155820269	PBMC_human
V132	-0.971788378	6.300119597	PBMC_human
V133	5.948198347	10.33797808	PBMC_human
V134	-0.101232903	1.546643216	PBMC_human
V135	12.65689233	6.220925051	PBMC_human
V136	-2.938987704	1.802844006	PBMC_human
V137	6.681014566	10.05116339	PBMC_human
V138	5.821690111	9.365651804	PBMC_human
V139	-2.381472321	11.14628478	PBMC_human
V140	0.975183932	-0.250915616	PBMC_human
V141	1.899993805	1.955126482	PBMC_human
V142	-2.32807252	10.99174376	PBMC_human
V143	-10.04368541	-0.240934812	PBMC_human
V144	4.500691919	-11.8099616	PBMC_human
V145	-1.756077142	7.554897982	PBMC_human
V146	1.583377866	-10.3306859	PBMC_human
V147	-11.65907905	0.923928577	PBMC_human
V148	-13.13187453	-0.352438559	PBMC_human
V149	-10.73436973	1.393416602	PBMC_human
V150	-11.07215163	-0.265474346	PBMC_human
V151	-2.431905718	11.09162398	PBMC_human
V152	3.36838725	-11.10192422	PBMC_human
V153	11.02325585	-7.52703504	PBMC_human
V154	4.272709875	-12.17890005	PBMC_human
V155	-0.95626715	7.280818182	PBMC_human
V156	3.4728339	-11.5768197	PBMC_human
V157	-0.819065066	7.317086893	PBMC_human
V158	1.360085396	10.26896926	PBMC_human
V159	0.183715983	0.726206738	PBMC_human
V160	5.834897069	9.626262385	PBMC_human
V161	4.034743814	-12.25077371	PBMC_human
V162	-3.116052599	8.743146616	PBMC_human
V163	5.94622138	9.836682993	PBMC_human
V164	2.557512311	-11.194279	PBMC_human
V165	0.916497736	-1.059248549	PBMC_human
V166	-2.381287547	11.65516348	PBMC_human
V167	0.030874485	7.210950095	PBMC_human
V168	0.159193186	7.305877406	PBMC_human
V169	-0.042824177	0.568808037	PBMC_human
V170	4.415299921	-12.00362043	PBMC_human
V171	3.220865755	-11.30272893	PBMC_human
V172	5.728643922	9.87872954	PBMC_human
V173	-11.94688651	-0.541600478	PBMC_human
V174	-11.44539687	-0.403241087	PBMC_human
V175	5.121680288	-12.10172967	PBMC_human
V176	-9.868882628	0.695444065	PBMC_human
V177	2.603629856	-11.2170413	PBMC_human
V178	-13.09595439	-0.428720099	PBMC_human
V179	1.65723422	-9.638001722	PBMC_human
V180	-12.32077739	-0.552573156	PBMC_human
V181	-13.16902015	-0.443709311	PBMC_human
V182	3.731808929	-11.72990064	PBMC_human
V183	2.735462932	-11.32469682	PBMC_human
V184	4.923737077	-12.0800374	PBMC_human
V185	2.683531312	-11.2857335	PBMC_human
V186	12.59188798	6.292698103	PBMC_human
V187	1.88588622	1.659627277	PBMC_human
V188	2.68301156	-11.21191911	PBMC_human
V189	3.6222966	-11.63492708	PBMC_human
V190	1.379749207	-0.408100602	PBMC_human
V191	6.401308088	10.16848536	PBMC_human
V192	2.934035806	-11.42399339	PBMC_human
V193	3.482328681	-11.16818838	PBMC_human
V194	0.212061985	7.345735747	PBMC_human
V195	2.303230314	0.319411594	PBMC_human
V196	6.070992021	9.763306338	PBMC_human
V197	0.154371483	7.245633799	PBMC_human
V198	12.63827661	6.244210917	PBMC_human
V199	-1.972197981	7.191663462	PBMC_human
V200	-0.016939992	1.179330427	PBMC_human
V201	5.56193736	10.04074259	PBMC_human
V202	4.813647775	-12.07709817	PBMC_human
V203	0.820255129	2.657150942	PBMC_human
V204	-0.057062993	7.154455382	PBMC_human
V205	4.729926137	-12.2993472	PBMC_human
V206	2.050998477	-10.3087285	PBMC_human
V207	5.924603967	9.189258295	PBMC_human
V208	-11.87568614	-0.452546668	PBMC_human
V209	0.950805811	1.323613244	PBMC_human
V210	6.08330491	8.815307337	PBMC_human
V211	6.045272855	10.24541541	PBMC_human
V212	-11.66469619	1.169254619	PBMC_human
V213	3.250736265	-10.94475679	PBMC_human
V214	-1.584713073	7.227225977	PBMC_human
V215	-0.996078225	7.332417685	PBMC_human
V216	5.869647054	9.781620699	PBMC_human
V217	-0.000432429	7.187714774	PBMC_human
V218	6.751545457	9.876750666	PBMC_human
V219	-0.990878911	5.749710757	PBMC_human
V220	0.823313443	1.041773158	PBMC_human
V221	-0.927247198	7.363998133	PBMC_human
V222	-11.26960704	-0.301287292	PBMC_human
V223	-12.07112643	0.064620304	PBMC_human
V224	0.202422841	7.310296732	PBMC_human
V225	6.608087568	10.25363131	PBMC_human
V226	2.492216138	-11.09424619	PBMC_human
V227	5.879139928	9.708059031	PBMC_human
V228	1.714687376	-10.29367666	PBMC_human
V229	6.517947702	9.972632128	PBMC_human
V230	-2.640186997	9.965457636	PBMC_human
V231	-11.77083251	1.065157133	PBMC_human
V232	-1.659593077	7.171413142	PBMC_human
V233	-9.165451498	5.297407824	PBMC_human
V234	0.954139857	0.060822445	PBMC_human
V235	5.794216184	10.34803363	PBMC_human
V236	-2.638529749	10.76551982	PBMC_human
V237	4.228547124	-11.75006799	PBMC_human
V238	5.598921804	10.23208209	PBMC_human
V239	5.404384641	9.769160944	PBMC_human
V240	-1.034477325	6.368252474	PBMC_human
V241	1.296438961	1.819481331	PBMC_human
V242	2.174683122	-9.752514166	PBMC_human
V243	5.022475748	9.689388949	PBMC_human
V244	4.9390631	-12.17548875	PBMC_human
V245	-12.37070415	0.381520289	PBMC_human
V246	0.845384626	-0.805678111	PBMC_human
V247	5.086837797	-12.14216642	PBMC_human
V248	-12.88149592	-0.255851841	PBMC_human
V249	-9.678373785	1.858213383	PBMC_human
V250	-2.315673323	11.37921496	PBMC_human
V251	0.996669559	0.489376861	PBMC_human
V252	2.851955919	-11.31375532	PBMC_human
V253	6.393618135	10.10543605	PBMC_human
V254	6.116016893	10.30449267	PBMC_human
V255	2.190981893	-10.79585771	PBMC_human
V256	0.884181408	-1.696826738	PBMC_human
V257	-12.75087497	-0.268528099	PBMC_human
V258	0.049865419	0.692271191	PBMC_human
V259	1.250545172	2.129366118	PBMC_human
V260	-2.471560212	8.951534945	PBMC_human
V261	-12.76939342	0.153048265	PBMC_human
V262	-11.8642802	-0.317718376	PBMC_human
V263	2.094202308	-10.16529493	PBMC_human
V264	5.884658365	10.44947978	PBMC_human
V265	-4.179551096	10.22071238	PBMC_human
V266	0.923422544	2.792295891	PBMC_human
V267	2.551908044	-11.14281301	PBMC_human
V268	0.092152482	7.302738863	PBMC_human
V269	-1.211011978	7.340432841	PBMC_human
V270	2.769594221	-11.29389219	PBMC_human
V271	-11.28030917	2.017801005	PBMC_human
V272	6.481307535	9.418404299	PBMC_human
V273	0.525025813	1.159845787	PBMC_human
V274	12.62578061	6.259894091	PBMC_human
V275	-12.8630881	-0.377913934	PBMC_human
V276	2.700540571	-11.32794408	PBMC_human
V277	-0.983707817	7.314007479	PBMC_human
V278	-3.78254077	7.976780611	PBMC_human
V279	5.660557775	9.808073717	PBMC_human
V280	-0.545567902	7.240603167	PBMC_human
V281	12.6683698	6.219383437	PBMC_human
V282	-1.330289813	10.76431628	PBMC_human
V283	-0.413040193	7.387906271	PBMC_human
V284	5.25146058	9.713601786	PBMC_human
V285	-0.063668133	7.213086802	PBMC_human
V286	-9.307301016	1.682725984	PBMC_human
V287	0.028126873	7.216874319	PBMC_human
V288	12.63580373	6.247607905	PBMC_human
V289	5.681216268	9.033457476	PBMC_human
V290	4.577022581	-12.1887372	PBMC_human
V291	-12.64300487	0.374848443	PBMC_human
V292	-12.09548518	-0.445806098	PBMC_human
V293	4.974412946	-12.32315854	PBMC_human
V294	-2.445044966	11.28627844	PBMC_human
V295	-12.8536515	-0.563399654	PBMC_human
V296	-11.64958236	-0.411643681	PBMC_human
