Dim1,Dim2,Dataset
1.407624414,4.947692523,neuron_human
8.235648205,5.245383391,neuron_human
0.365548184,-2.884115568,neuron_human
-2.22298033,3.211943516,neuron_human
2.679199745,-4.775406709,neuron_human
-2.315909932,1.65981842,neuron_human
-3.924347589,4.173597703,neuron_human
-2.317472885,3.208533177,neuron_human
-1.807685087,-3.310039153,neuron_human
-1.906081984,2.839174399,neuron_human
-2.346816251,3.407009492,neuron_human
6.48479419,4.387563834,neuron_human
3.34254699,3.68281115,neuron_human
-5.689249942,-0.84744834,neuron_human
2.948938181,3.206391463,neuron_human
-8.740520427,-4.292950502,neuron_human
-0.916010986,-3.678689828,neuron_human
3.110587885,3.415599713,neuron_human
-11.15625853,-5.678874364,neuron_human
-1.319218824,-2.09521853,neuron_human
-1.953047583,1.547260174,neuron_human
-1.899291942,1.691259274,neuron_human
-6.013699482,-5.099486223,neuron_human
-2.246991823,1.686299452,neuron_human
-1.621853302,-3.262221685,neuron_human
-0.095860968,-1.804540267,neuron_human
-1.450518916,1.665130267,neuron_human
2.664042761,-2.354141584,neuron_human
-2.54008169,3.666123757,neuron_human
3.285809805,3.679901013,neuron_human
-1.923417041,1.748750815,neuron_human
2.410513689,2.869254479,neuron_human
-2.313251803,3.261487136,neuron_human
-1.574903319,-0.566852858,neuron_human
4.258674671,0.237880281,neuron_human
-1.915286849,2.020543704,neuron_human
-0.786121199,-3.113338104,neuron_human
-1.794681857,1.981018314,neuron_human
-2.035583685,-2.313105455,neuron_human
-5.091928909,-5.537731042,neuron_human
-0.255833293,-2.873080602,neuron_human
-1.445056269,-4.278623453,neuron_human
-2.1200083,3.168333897,neuron_human
6.658463051,4.611043105,neuron_human
-2.317251036,2.958339581,neuron_human
-0.952192793,-1.470353356,neuron_human
-2.247882316,3.475505957,neuron_human
-0.898276518,-1.473743787,neuron_human
-2.592716882,3.683859954,neuron_human
-3.15595455,4.015801558,neuron_human
6.147672703,9.345152983,neuron_human
-2.698473642,3.907949338,neuron_human
-0.688927928,-1.657055011,neuron_human
-2.176058004,1.589319596,neuron_human
-2.093762348,3.115377793,neuron_human
1.584248354,5.581512103,neuron_human
-1.009959886,-2.042234054,neuron_human
-2.34267051,1.630429039,neuron_human
-0.307478944,-2.971776834,neuron_human
-2.19622011,3.093919167,neuron_human
-0.797987501,2.086246142,neuron_human
-2.420603464,1.589473376,neuron_human
-1.972997854,1.718553075,neuron_human
-2.839144418,3.876797089,neuron_human
3.963924935,0.156397635,neuron_human
-2.034784625,3.063039431,neuron_human
-0.658804203,-2.116211763,neuron_human
1.063004663,8.92225183,neuron_human
-2.154890368,2.816304574,neuron_human
-2.363064478,3.516615519,neuron_human
3.163269808,6.814956793,neuron_human
-3.906667898,4.080448041,neuron_human
-1.494780133,1.632962594,neuron_human
-13.01337333,-2.918300977,neuron_human
-1.05103756,-1.967101207,neuron_human
1.570162108,-0.738598695,neuron_human
6.682545712,-0.898517003,neuron_human
-0.960962782,-2.085512748,neuron_human
-0.862732122,3.468466649,neuron_human
2.225214293,2.583607325,neuron_human
-13.06349177,-2.334313503,neuron_human
-1.563560913,1.58567203,neuron_human
-2.933550546,4.037874589,neuron_human
5.704776814,8.637574324,neuron_human
3.49894314,4.998193392,neuron_human
-2.459989021,-0.471584967,neuron_human
-0.763195346,-1.823714366,neuron_human
-1.145283292,-0.605043044,neuron_human
3.174315026,3.184224496,neuron_human
-1.247811744,0.425016651,neuron_human
-2.095157931,2.878423104,neuron_human
3.651331951,1.449562678,neuron_human
-0.084169964,-6.684615007,neuron_human
-2.304670999,3.276572833,neuron_human
-1.230424712,2.003404269,neuron_human
-2.457948396,1.616414556,neuron_human
-2.372005174,3.234345088,neuron_human
-1.265798578,-2.168472638,neuron_human
-0.395693781,-1.475633374,neuron_human
2.872180989,2.82205213,neuron_human
-1.018933127,-6.392083993,Stromal cell_Ccl11 high(Uterus)
-2.02959604,-5.53631579,Stromal cell_Ccl11 high(Uterus)
-1.912080953,-5.337787023,Stromal cell_Ccl11 high(Uterus)
-1.901927183,-5.38000237,Stromal cell_Ccl11 high(Uterus)
-1.87338526,-5.986747136,Stromal cell_Ccl11 high(Uterus)
-0.71484525,-6.08292233,Stromal cell_Ccl11 high(Uterus)
-0.687198768,-5.778706422,Stromal cell_Ccl11 high(Uterus)
-2.111360738,-6.050411573,Stromal cell_Ccl11 high(Uterus)
-1.916267226,-5.220457425,Stromal cell_Ccl11 high(Uterus)
-2.261484811,-5.938036313,Stromal cell_Ccl11 high(Uterus)
-1.832938979,-6.108199468,Stromal cell_Ccl11 high(Uterus)
-1.478684137,-5.826097837,Stromal cell_Ccl11 high(Uterus)
-1.86915798,-6.138780465,Stromal cell_Ccl11 high(Uterus)
-1.825452755,-6.024060598,Stromal cell_Ccl11 high(Uterus)
-1.159773896,-6.125761381,Stromal cell_Ccl11 high(Uterus)
-1.746476243,-5.593882432,Stromal cell_Ccl11 high(Uterus)
-2.016897509,-6.118322244,Stromal cell_Ccl11 high(Uterus)
-1.627117107,-5.838441244,Stromal cell_Ccl11 high(Uterus)
-2.326495598,-5.758648744,Stromal cell_Ccl11 high(Uterus)
-2.004672358,-6.241598478,Stromal cell_Ccl11 high(Uterus)
-2.064835022,-5.870459905,Stromal cell_Ccl11 high(Uterus)
-2.190549085,-6.002507558,Stromal cell_Ccl11 high(Uterus)
-1.035750041,-5.868492952,Stromal cell_Ccl11 high(Uterus)
-1.818727443,-5.934018007,Stromal cell_Ccl11 high(Uterus)
-1.957495759,-5.650723806,Stromal cell_Ccl11 high(Uterus)
-1.974988172,-5.929839483,Stromal cell_Ccl11 high(Uterus)
-2.183018754,-6.084064832,Stromal cell_Ccl11 high(Uterus)
-1.776930163,-5.36226975,Stromal cell_Ccl11 high(Uterus)
-1.321633766,-5.917642465,Stromal cell_Ccl11 high(Uterus)
-1.948660324,-6.058243623,Stromal cell_Ccl11 high(Uterus)
