	0	1	X
0	-6.638512	14.332718	rna
1	-5.0940924	9.605103	rna
2	-14.10799	25.604872	rna
3	-8.853335	11.323419	rna
4	-23.218607	25.191969	rna
5	-0.2330816	3.8051665	rna
6	-9.365835	8.613049	rna
7	-3.9704092	5.3799434	rna
8	-9.034519	9.535364	rna
9	-1.6508304	4.7181544	rna
10	-8.831796	11.614248	rna
11	-1.2334085	3.952879	rna
12	-8.54213	10.430623	rna
13	-6.5658436	7.7956877	rna
14	-6.5836616	7.831422	rna
15	-4.656499	12.745213	rna
16	-5.8254504	9.298887	rna
17	-7.121117	8.555221	rna
18	-4.438003	6.0023327	rna
19	-5.1883597	9.3265085	rna
20	-4.2756176	6.7862906	rna
21	-1.7071314	4.467274	rna
22	-6.9496956	7.814488	rna
23	-5.2978806	9.128279	rna
24	-1.9801311	8.338712	rna
25	-0.12065986	3.889756	rna
26	-8.560566	9.143393	rna
27	-3.7661815	8.908235	rna
28	-6.8295994	14.181195	rna
29	-1.9991541	7.515702	rna
30	-4.2810445	13.105366	rna
31	-5.1650805	7.137685	rna
32	-8.8827505	10.702095	rna
33	-1.8532376	8.926311	rna
34	-6.163995	5.249724	rna
35	-6.33265	10.479672	rna
36	-7.943978	9.622655	rna
37	-6.086047	14.538645	rna
38	-4.5317984	5.8589816	rna
39	-5.755691	9.822985	rna
40	-6.585913	14.230589	rna
41	-1.0634662	-4.4808526	rna
42	-4.042362	6.429512	rna
43	-7.718781	14.87044	rna
44	-6.239887	10.159565	rna
45	-2.0467863	3.7906477	rna
46	-11.603547	27.016579	rna
47	-4.7295136	12.377898	rna
48	0.04866794	3.971851	rna
49	-2.121014	4.616673	rna
50	47.986233	-0.71048003	rna
51	44.984947	1.2885971	rna
52	-58.87207	-15.283841	rna
53	47.963085	-0.54406273	rna
54	46.64954	-0.04010795	rna
55	-26.346397	-25.047026	rna
56	49.52582	2.6836727	rna
57	45.235184	0.70719373	rna
58	53.05533	-0.90796113	rna
59	49.958904	-1.6516573	rna
60	45.0269	1.7675507	rna
61	44.113873	2.4871142	rna
62	55.54754	-0.63630444	rna
63	48.16772	-0.684523	rna
64	44.99547	1.2405102	rna
65	50.9614	-2.0970998	rna
66	48.67203	0.5017904	rna
67	55.15077	-1.2666146	rna
68	48.24416	-1.0496147	rna
69	48.7655	2.2321947	rna
70	52.062252	-1.1584389	rna
71	45.432484	2.3105686	rna
72	44.5816	1.6604133	rna
73	48.493893	-0.06596672	rna
74	48.989113	-1.4984121	rna
75	-26.582432	-25.444683	rna
76	48.314026	-1.0024315	rna
77	49.563206	-1.6037027	rna
78	48.048283	-0.6533484	rna
79	45.96979	1.7077365	rna
80	45.335392	2.6837637	rna
81	48.27749	-1.3971848	rna
82	55.49934	-1.4198997	rna
83	50.090366	3.2442322	rna
84	45.34429	1.3776394	rna
85	48.047115	-0.73484045	rna
86	45.81172	2.3275573	rna
87	45.27864	0.97816104	rna
88	45.733154	1.7370554	rna
89	48.69299	-1.543166	rna
90	49.09041	-1.6932808	rna
91	51.366497	-2.1624193	rna
92	49.31951	-1.4958023	rna
93	50.00266	-1.5341427	rna
94	47.603683	-0.31708235	rna
95	50.742786	-1.0417407	rna
96	48.887226	-0.77399987	rna
97	47.425957	-0.20084566	rna
98	51.04437	-0.4291345	rna
99	45.13389	2.2157829	rna
100	-4.425793	6.815684	rna
101	-8.887251	14.692895	rna
102	-9.221362	8.821942	rna
103	-9.891821	7.87284	rna
104	-2.417199	4.6068745	rna
105	-4.940924	7.370019	rna
106	-0.90944403	3.4929419	rna
107	-2.6180542	4.68667	rna
108	-7.1352453	14.748295	rna
109	-7.549365	9.294873	rna
110	-4.356642	12.46794	rna
111	-8.859622	10.151597	rna
112	-4.182985	5.5998635	rna
113	-8.86822	11.150476	rna
114	-4.460499	5.1633906	rna
115	-5.438585	-12.382689	rna
116	-5.4714956	7.0293984	rna
117	-8.08573	7.69279	rna
118	-7.3595586	14.775122	rna
119	-11.003175	10.010597	rna
120	-4.343294	4.8145885	rna
121	-11.032018	9.877977	rna
122	-6.0447164	13.30434	rna
123	0.34408712	2.851959	rna
124	-3.4516137	6.2143965	rna
125	-7.1905336	7.385513	rna
126	0.25075096	3.1942253	rna
127	-3.459995	10.480168	rna
128	-3.746401	5.175189	rna
129	-6.965959	8.304426	rna
130	-5.361426	9.808551	rna
131	-9.21438	8.26471	rna
132	-4.5566597	6.871231	rna
133	-8.034614	15.207001	rna
134	-5.9593334	10.327818	rna
135	0.24171196	3.6504705	rna
136	-7.0535793	12.743912	rna
137	-6.507766	13.26645	rna
138	-6.7450285	8.982924	rna
139	-9.170131	10.463791	rna
140	-6.186631	8.100945	rna
141	-8.425444	8.694023	rna
142	-6.04256	5.2171273	rna
143	-5.594576	9.875096	rna
144	-6.602581	12.408095	rna
145	0.3358204	3.4809635	rna
146	-7.47854	13.759805	rna
147	-2.185352	5.079348	rna
148	-8.373172	14.950922	rna
149	-8.966001	7.9916196	rna
150	-2.0951645	13.051649	rna
151	0.4877547	8.65561	rna
152	-1.7624289	9.994163	rna
153	-2.7308784	10.241887	rna
154	-1.3488755	9.312793	rna
155	-3.4662955	10.684429	rna
156	-1.5093211	8.893917	rna
157	-2.4839208	12.673163	rna
158	-3.590384	11.064442	rna
159	-1.8004547	12.957493	rna
160	-2.3253553	8.466292	rna
161	6.572713	4.470402	rna
162	-5.04407	13.319432	rna
163	-1.0517476	8.831376	rna
164	-13.235584	-10.75017	rna
165	-3.1215746	12.759347	rna
166	-5.2747498	14.550438	rna
167	-2.465255	12.66843	rna
168	-4.482245	9.453872	rna
169	0.7477774	8.537043	rna
170	-4.6515026	12.105281	rna
171	-2.5880866	11.981236	rna
172	-1.871817	9.996742	rna
173	-1.867058	12.77184	rna
174	0.9129538	8.37992	rna
175	-8.855402	3.673157	rna
176	-9.359541	2.306458	rna
177	-2.0379086	2.7569225	rna
178	-2.069316	13.022476	rna
179	-1.9374946	10.56675	rna
180	-3.172137	10.208225	rna
181	-11.508573	27.160608	rna
182	-17.162952	25.793036	rna
183	-0.7560459	3.312543	rna
184	-5.1179123	14.730287	rna
185	-1.5823401	3.5934703	rna
186	-11.219343	0.99056005	rna
187	-3.654702	9.200311	rna
188	-10.392668	32.931057	rna
189	-2.0698996	8.058898	rna
190	-3.6667738	10.651904	rna
191	-0.0952282	8.787437	rna
192	1.1078664	7.6523542	rna
193	-2.4891586	10.814192	rna
194	-0.7690895	8.818361	rna
195	0.758572	8.425493	rna
196	-2.012936	9.861241	rna
197	-1.2598143	9.224932	rna
198	-13.827543	26.118645	rna
199	20.122808	-14.195491	rna
200	30.174257	-19.236113	rna
201	16.019434	-11.817242	rna
202	6.972112	4.3499017	rna
203	31.492876	-19.89096	rna
204	6.8285203	3.157285	rna
205	40.356026	-21.032963	rna
206	17.749609	-17.91809	rna
207	6.960081	2.972313	rna
208	26.067673	-18.10293	rna
209	25.42614	-18.936537	rna
210	6.2659855	3.4046097	rna
211	29.408157	-17.059874	rna
212	26.192345	-17.893019	rna
213	6.455367	3.9410403	rna
214	6.9094048	4.6753864	rna
215	34.83535	-18.01795	rna
216	28.853033	-17.13126	rna
217	43.97198	-26.113838	rna
218	30.556051	-19.280073	rna
219	35.479267	-26.37114	rna
220	34.24761	-16.600634	rna
221	41.305634	-20.875284	rna
222	29.734137	-24.575754	rna
223	19.297	-16.86333	rna
224	34.815197	-17.82067	rna
225	35.298325	-17.497728	rna
226	28.668615	-17.080194	rna
227	34.09526	-16.65574	rna
228	34.410625	-16.82819	rna
229	29.609015	-19.032385	rna
230	30.564955	-19.157648	rna
231	25.305185	-17.995548	rna
232	44.92796	-25.890858	rna
233	-11.494803	-6.925389	rna
234	36.01316	-17.573154	rna
235	35.02716	-17.743893	rna
236	33.870277	-16.516842	rna
237	18.578934	-15.252233	rna
238	40.54387	-20.829523	rna
239	31.117804	-19.925562	rna
240	31.293613	-19.71029	rna
241	25.12337	-17.779026	rna
242	34.95446	-17.256714	rna
243	30.787722	-19.003267	rna
244	34.502914	-18.267826	rna
245	12.4838295	-28.946833	rna
246	34.73786	-17.183176	rna
247	40.793926	-20.988304	rna
248	25.894253	-18.595766	rna
249	41.810177	-20.976374	rna
250	42.58655	-67.25612	rna
251	48.61923	-54.376507	rna
252	48.931576	-57.56554	rna
253	27.263908	-34.528156	rna
254	46.426445	-61.324963	rna
255	47.57821	-57.625454	rna
256	47.254498	-57.8766	rna
257	42.88685	-62.067383	rna
258	40.16146	-56.496506	rna
259	48.458256	-59.87329	rna
260	46.48031	-58.096992	rna
261	48.697838	-56.763382	rna
262	46.922703	-54.939503	rna
263	47.962116	-52.827328	rna
264	47.221104	-57.77107	rna
265	41.557335	-60.873642	rna
266	47.731293	-59.85128	rna
267	47.116894	-63.177624	rna
268	42.08675	-54.868187	rna
269	46.06262	-61.13178	rna
270	42.323483	-60.7741	rna
271	47.33694	-59.532593	rna
272	46.172153	-61.339813	rna
273	56.18409	-51.250523	rna
274	49.146973	-59.463844	rna
275	39.44462	-60.13572	rna
276	47.175003	-59.650517	rna
277	32.024364	-42.869453	rna
278	42.650646	-61.328285	rna
279	45.58288	-62.082787	rna
280	48.895924	-58.863483	rna
281	47.745144	-56.1785	rna
282	41.785564	-55.31618	rna
283	47.91997	-58.81526	rna
284	48.432533	-56.93036	rna
285	45.909645	-61.04687	rna
286	50.077904	-59.150116	rna
287	48.492332	-56.75291	rna
288	47.58324	-61.66498	rna
289	47.830437	-55.106777	rna
290	48.830303	-60.413998	rna
291	40.067135	-56.51673	rna
292	46.592884	-59.552597	rna
293	47.242035	-58.779236	rna
294	46.799793	-59.929268	rna
295	46.544533	-54.84534	rna
296	47.54015	-54.72358	rna
297	48.246967	-54.653423	rna
298	48.594418	-54.462105	rna
299	49.539993	-59.647305	rna
300	-18.864698	-25.608536	rna
301	-12.593008	-34.780163	rna
302	-18.440527	-26.692636	rna
303	-52.407436	-48.050774	rna
304	-38.589943	-40.726925	rna
305	-9.844979	9.329273	rna
306	-19.135784	-21.29275	rna
307	-48.76437	-24.057468	rna
308	-39.155643	-37.31914	rna
309	-45.92187	-20.786667	rna
310	-15.541633	-34.857716	rna
311	-46.790108	-16.505125	rna
312	-5.421471	9.828965	rna
313	-43.780987	-22.808779	rna
314	-31.055182	-47.3427	rna
315	-45.65955	-14.394008	rna
316	-51.86447	-46.9518	rna
317	-54.63539	-32.839363	rna
318	-39.336872	-58.621323	rna
319	-15.095115	-34.60711	rna
320	-44.839325	-38.293415	rna
321	-46.82731	-27.096764	rna
322	-13.148934	-34.419937	rna
323	-17.968624	-26.702103	rna
324	-31.652075	-48.642933	rna
325	-19.805693	-39.333908	rna
326	-46.61408	-40.835903	rna
327	-13.481324	-34.335377	rna
328	-43.2369	-46.320488	rna
329	-43.935215	-26.590483	rna
330	-47.020107	-17.328894	rna
331	-46.96962	-16.72208	rna
332	-4.264508	-52.199257	rna
333	-30.941576	-47.26079	rna
334	-14.414049	-34.56578	rna
335	-38.881416	-40.77843	rna
336	-17.949099	-26.526846	rna
337	-19.856855	26.338846	rna
338	-31.258123	-47.532944	rna
339	-52.19385	-47.46835	rna
340	-51.2019	-44.533176	rna
341	-14.363298	-34.179043	rna
342	-18.534647	-25.552256	rna
343	-13.893247	-34.415134	rna
344	-14.854613	-60.979706	rna
345	-43.32509	-46.408646	rna
346	-4.3129406	-52.227554	rna
347	-47.428753	-39.862507	rna
348	-47.06922	-16.833828	rna
349	-50.11589	-26.628645	rna
350	-18.406023	8.286684	rna
351	-13.229614	-20.579824	rna
352	-35.074196	-0.91315156	rna
353	9.807489	-39.088146	rna
354	-9.928535	-12.240476	rna
355	-17.552296	-31.391254	rna
356	-5.975571	-10.307828	rna
357	-34.493294	-1.5403272	rna
358	8.736226	-33.626663	rna
359	1.2288595	-32.144253	rna
360	-8.497077	-11.935937	rna
361	-17.79483	-2.9950209	rna
362	-44.825706	10.432317	rna
363	11.737151	-34.594467	rna
364	-18.21454	26.433674	rna
365	-19.4853	-5.5795727	rna
366	-15.965352	-2.054407	rna
367	-36.96104	-11.646269	rna
368	-20.26091	10.111816	rna
369	-23.428247	7.256043	rna
370	-20.586071	8.403752	rna
371	-13.690196	36.707302	rna
372	-0.12654205	-32.903255	rna
373	-33.640263	-2.0646331	rna
374	-0.34963384	-31.2678	rna
375	-32.110146	-1.753551	rna
376	12.873399	-39.903366	rna
377	-23.586815	24.960953	rna
378	-20.06838	-5.276388	rna
379	-33.827015	9.9845495	rna
380	-7.099255	-16.140514	rna
381	-19.016596	-5.7247972	rna
382	-18.251919	7.4944816	rna
383	6.527964	-33.99097	rna
384	-19.865742	7.2155747	rna
385	-19.3517	-6.344556	rna
386	-38.596474	4.223864	rna
387	-23.721151	24.943441	rna
388	-16.635275	20.836576	rna
389	45.585175	2.5959961	rna
