	0	1	X
0	60.474464	0.19269225	rna
1	60.627876	0.11087207	rna
2	54.729202	-5.031279	rna
3	56.17492	-1.0900035	rna
4	52.966564	-2.3547335	rna
5	57.322983	-0.63352555	rna
6	52.768044	-2.8511462	rna
7	57.849873	-0.22077774	rna
8	53.258175	-3.9061859	rna
9	60.20737	-0.23171815	rna
10	58.64964	-2.7090425	rna
11	56.240593	1.405804	rna
12	59.95217	-0.2567772	rna
13	56.92633	-1.7454162	rna
14	59.87861	-0.13393833	rna
15	58.13947	-2.505925	rna
16	59.10145	-1.2308291	rna
17	55.842564	0.8769198	rna
18	56.883965	0.3226038	rna
19	60.279217	-0.015443929	rna
20	58.851658	0.6917132	rna
21	59.81662	-1.366754	rna
22	56.809456	-2.486553	rna
23	60.098312	-0.030526603	rna
24	56.500217	-2.804252	rna
25	59.417835	-0.08024313	rna
26	53.145542	-2.5436275	rna
27	54.0428	-1.8110373	rna
28	58.393456	-1.2555436	rna
29	53.834526	-4.985997	rna
30	58.83408	-2.3575842	rna
31	56.706707	0.10776413	rna
32	57.341965	-1.0810536	rna
33	57.50987	-1.8481001	rna
34	58.400536	0.41223878	rna
35	58.586407	-0.6915714	rna
36	58.479668	-2.4321623	rna
37	60.40166	-0.25124124	rna
38	55.9716	0.7083091	rna
39	55.614037	0.55380225	rna
40	58.546364	1.4916885	rna
41	56.448807	1.1287719	rna
42	55.5755	0.8084529	rna
43	57.81338	-2.017703	rna
44	60.079388	-0.2204763	rna
45	52.63676	-4.3982935	rna
46	58.336517	-1.3829695	rna
47	57.777294	-1.848711	rna
48	60.232433	-0.09631953	rna
49	54.791573	-0.5614779	rna
50	44.88422	15.835178	rna
51	42.82542	17.96792	rna
52	37.42804	-18.313053	rna
53	43.656822	17.031906	rna
54	42.110897	17.612648	rna
55	42.72752	18.83721	rna
56	43.028282	17.767187	rna
57	43.97775	18.314367	rna
58	44.12461	15.796152	rna
59	44.421906	17.08982	rna
60	42.737106	17.919174	rna
61	40.713947	8.053424	rna
62	44.34461	15.9225	rna
63	44.324062	16.567762	rna
64	43.552086	18.499357	rna
65	44.485035	16.525846	rna
66	43.36438	16.668198	rna
67	45.254776	15.957478	rna
68	44.735004	17.185768	rna
69	42.612698	16.078999	rna
70	45.1987	15.674974	rna
71	42.346977	15.676603	rna
72	39.769997	17.750078	rna
73	44.711117	17.194445	rna
74	44.633022	17.677603	rna
75	39.87082	17.69972	rna
76	45.119827	16.974009	rna
77	45.06801	16.121815	rna
78	44.248714	16.713026	rna
79	42.82875	16.582544	rna
80	39.35388	15.672239	rna
81	45.495094	17.027452	rna
82	54.324265	16.948366	rna
83	42.935787	17.474092	rna
84	43.636658	17.386646	rna
85	43.35417	17.751259	rna
86	39.898434	17.677624	rna
87	43.62461	17.78398	rna
88	39.825016	17.63036	rna
89	44.833744	17.269749	rna
90	44.504585	17.059046	rna
91	44.61241	16.51299	rna
92	43.632885	16.378899	rna
93	44.420708	17.583015	rna
94	43.91377	15.989513	rna
95	45.08479	16.10239	rna
96	42.968773	15.847336	rna
97	42.458954	17.73957	rna
98	42.576065	15.635749	rna
99	42.9007	18.072927	rna
100	55.116966	0.82023925	rna
101	53.8056	-3.1985035	rna
102	53.036552	-5.0763993	rna
103	53.022263	-4.4749084	rna
104	56.91702	-1.4319228	rna
105	56.711662	0.2562981	rna
106	57.27505	0.74570143	rna
107	55.02484	-0.70670736	rna
108	57.03165	-0.98401725	rna
109	57.072784	1.2683876	rna
110	54.895496	-0.106781974	rna
111	56.447742	-0.22047156	rna
112	57.07519	0.30503637	rna
113	57.658314	-2.125767	rna
114	53.28613	-1.7658054	rna
115	51.68533	-3.499391	rna
116	56.072815	0.33237556	rna
117	55.055756	-3.2803433	rna
118	57.627728	-2.9473784	rna
119	56.193626	-0.42987198	rna
120	53.08553	-1.9497244	rna
121	53.709747	-3.488056	rna
122	56.86071	-2.5932937	rna
123	53.25473	-2.8147314	rna
124	58.966824	0.83010197	rna
125	55.817818	-1.0011945	rna
126	57.890907	0.30112958	rna
127	52.47981	-4.576772	rna
128	57.34424	-0.75452876	rna
129	54.254826	-0.025364347	rna
130	54.909893	0.44138527	rna
131	56.539734	-0.39637652	rna
132	56.305897	0.19877924	rna
133	53.263924	-3.0617204	rna
134	58.388954	-0.8449662	rna
135	59.043533	0.5455309	rna
136	53.61728	-3.2857554	rna
137	60.196587	0.44351986	rna
138	55.984547	-1.0218418	rna
139	58.092274	1.6125054	rna
140	53.155655	-4.309332	rna
141	54.780453	-1.777724	rna
142	56.722866	0.23421903	rna
143	57.49035	-0.24174331	rna
144	57.933857	1.8927681	rna
145	54.222565	-0.84388244	rna
146	54.649036	-2.4820738	rna
147	59.23637	1.2544309	rna
148	53.302963	-2.2107549	rna
149	54.680912	-2.6970127	rna
150	57.587887	-3.615042	rna
151	60.240772	-1.1555625	rna
152	54.037003	-5.355122	rna
153	56.055817	-4.7624183	rna
154	58.04458	-3.4463677	rna
155	54.701332	-3.6067088	rna
156	57.245888	0.6842534	rna
157	55.89305	-1.5999097	rna
158	55.374466	-3.2639484	rna
159	57.53541	-5.7040114	rna
160	55.844414	-3.5034282	rna
161	52.844498	-4.6639433	rna
162	58.169064	-2.9712431	rna
163	54.183983	-5.0423236	rna
164	53.09308	-3.7335753	rna
165	57.54807	-5.450608	rna
166	58.820396	-0.99298805	rna
167	54.041294	-5.693251	rna
168	59.272415	-2.3062434	rna
169	57.6418	-5.227618	rna
170	54.007095	-5.69528	rna
171	57.214306	-4.251606	rna
172	56.281704	-4.9756413	rna
173	57.13719	-4.275773	rna
174	56.66492	-3.4655643	rna
175	40.247375	-26.138226	rna
176	52.118435	-4.2064986	rna
177	52.786278	-4.450396	rna
178	56.46605	-4.756688	rna
179	57.65722	-4.5544972	rna
180	55.434025	-2.888413	rna
181	57.70474	-3.8824475	rna
182	52.953045	-4.9291377	rna
183	55.482098	-5.6322074	rna
184	58.581142	-1.4723548	rna
185	55.48541	-4.326642	rna
186	54.02377	-5.812091	rna
187	54.418667	-5.6033792	rna
188	54.07205	-6.0387444	rna
189	55.873264	-1.8405493	rna
190	55.3487	-2.735875	rna
191	57.75273	-3.9932418	rna
192	52.503307	-5.117379	rna
193	55.369305	-4.807715	rna
194	57.365005	-3.7792091	rna
195	52.74197	-4.686094	rna
196	59.430374	-1.0587502	rna
197	54.132175	-5.6880164	rna
198	55.698345	-4.241934	rna
199	53.40228	-1.5885699	rna
200	47.47509	31.788652	rna
201	47.05995	31.35167	rna
202	49.090813	31.599762	rna
203	47.336147	31.971981	rna
204	47.2911	30.851954	rna
205	48.253918	32.457443	rna
206	49.917564	32.4706	rna
207	49.86569	31.623169	rna
208	49.94038	30.488739	rna
209	47.873512	31.945896	rna
210	47.38546	30.609316	rna
211	49.30199	30.129765	rna
212	48.494404	30.571342	rna
213	47.329144	31.04744	rna
214	47.17751	32.3146	rna
215	48.950027	31.31606	rna
216	48.76672	31.223394	rna
217	47.867146	31.640713	rna
218	48.06169	30.51962	rna
219	47.05902	32.768265	rna
220	49.20793	30.269518	rna
221	48.475506	30.370125	rna
222	48.00572	32.537273	rna
223	49.575752	30.58561	rna
224	48.865604	31.02901	rna
225	48.421528	30.601885	rna
226	47.37593	31.90502	rna
227	49.42336	30.316143	rna
228	49.331253	30.207352	rna
229	47.75242	32.293594	rna
230	48.843266	30.5593	rna
231	48.62073	29.955963	rna
232	47.352024	31.628733	rna
233	47.578304	32.209522	rna
234	49.333153	31.145653	rna
235	48.308575	30.51844	rna
236	49.470825	30.145563	rna
237	47.031063	32.573956	rna
238	47.944534	30.96079	rna
239	47.86084	31.288988	rna
240	47.531483	32.011097	rna
241	50.17304	30.556707	rna
242	49.08408	30.1982	rna
243	48.263435	30.152035	rna
244	49.600483	31.43579	rna
245	48.016727	31.310284	rna
246	48.71772	30.927404	rna
247	47.697197	31.098885	rna
248	49.829975	30.754175	rna
249	49.249786	30.647533	rna
250	-49.52296	-33.36174	rna
251	-66.265	-29.190557	rna
252	-54.89863	-35.16849	rna
253	-53.240486	-31.815338	rna
254	-53.56232	-36.00073	rna
255	-55.80559	-36.173615	rna
256	-55.968197	-36.062817	rna
257	-53.317856	-34.784504	rna
258	-53.10181	-32.612816	rna
259	-52.246246	-35.979443	rna
260	-53.475807	-35.758694	rna
261	-54.94198	-35.302574	rna
262	-53.339973	-33.02482	rna
263	-67.892166	-30.413546	rna
264	-52.69622	-35.87161	rna
265	-53.602478	-32.124947	rna
266	-53.886723	-36.021233	rna
267	-53.593803	-36.12785	rna
268	-54.031136	-32.144245	rna
269	-51.088314	-35.66929	rna
270	-52.611336	-33.173065	rna
271	-52.948605	-34.85625	rna
272	-53.628117	-35.649426	rna
273	-56.174786	-35.939297	rna
274	-53.896954	-36.81754	rna
275	-52.175102	-32.41065	rna
276	-53.477028	-35.472157	rna
277	-66.43625	-29.780573	rna
278	-50.29136	-33.256954	rna
279	-53.662605	-36.689934	rna
280	-53.739834	-35.68996	rna
281	-54.95083	-35.235832	rna
282	-53.932014	-31.953487	rna
283	-53.790432	-36.03013	rna
284	-54.10553	-36.82807	rna
285	-52.476532	-36.016117	rna
286	-53.853058	-37.26621	rna
287	-52.1162	-34.09631	rna
288	-51.112244	-35.496025	rna
289	-54.554928	-33.769295	rna
290	-53.917904	-37.009315	rna
291	-52.600864	-32.52547	rna
292	-54.032223	-36.87997	rna
293	-52.440586	-35.596573	rna
294	-53.894142	-35.208187	rna
295	-54.370823	-33.592026	rna
296	-54.353077	-34.692936	rna
297	-54.499577	-33.49932	rna
298	-53.339924	-33.309036	rna
299	-54.026096	-37.23856	rna
300	-1.4144316	38.200287	rna
301	-1.9715582	38.046955	rna
302	-2.1994216	38.79631	rna
303	-5.4637914	42.642967	rna
304	-1.1370702	39.011574	rna
305	53.112236	-5.90926	rna
306	-1.2104181	36.897476	rna
307	0.60241675	38.22591	rna
308	-2.2340307	37.08777	rna
309	-2.1985357	38.5994	rna
310	-1.218619	36.79362	rna
311	-1.8948793	38.630436	rna
312	58.64858	-4.5043864	rna
313	-0.3907289	38.179394	rna
314	-0.47487107	37.81341	rna
315	-2.187929	38.406876	rna
316	-0.40926352	37.845478	rna
317	0.01822475	38.89199	rna
318	-0.1038025	37.89882	rna
319	-1.7419055	37.121918	rna
320	-0.54386634	38.005695	rna
321	-0.3460856	38.453243	rna
322	-2.1012435	36.500687	rna
323	-5.293872	39.069225	rna
324	-1.2450093	38.104992	rna
325	-1.3241202	37.810616	rna
326	-1.4693899	39.49186	rna
327	-0.5490958	37.318195	rna
328	-0.3818153	38.63103	rna
329	0.08037134	38.174747	rna
330	-1.3896865	37.5095	rna
331	-1.7599996	39.043285	rna
332	-1.4458466	37.681126	rna
333	-1.9666979	36.86659	rna
334	-0.57453114	36.940563	rna
335	-0.730234	38.9196	rna
336	-1.8912867	36.93811	rna
337	35.808105	-20.359987	rna
338	-0.25560403	38.04627	rna
339	0.10815104	38.69921	rna
340	-9.545425	49.740597	rna
341	-1.1400373	37.918392	rna
342	-1.5404258	36.393738	rna
343	-1.4486498	38.5708	rna
344	-1.1175979	37.844788	rna
345	-0.13985054	39.122295	rna
346	-1.7990549	37.8656	rna
347	-0.65869063	40.2226	rna
348	-0.72354156	38.58766	rna
349	0.21355008	38.320267	rna
350	38.18005	-23.279018	rna
351	38.112022	-23.3579	rna
352	38.749493	-24.04127	rna
353	39.049324	-23.433022	rna
354	36.714123	-23.31137	rna
355	39.216473	-24.618534	rna
356	37.47779	-23.759766	rna
357	38.094357	-24.744675	rna
358	39.105526	-24.43825	rna
359	38.275974	-24.905241	rna
360	39.887238	-26.455292	rna
361	39.898197	-26.22369	rna
362	40.05156	-27.61816	rna
363	39.17625	-25.628143	rna
364	23.760448	-34.205505	rna
365	38.803963	-27.215431	rna
366	39.57118	-27.512709	rna
367	39.705994	-25.688225	rna
368	37.0482	-24.159464	rna
369	38.561638	-26.818382	rna
370	34.854084	-23.252714	rna
371	21.936596	-21.215855	rna
372	40.00459	-24.40656	rna
373	39.296165	-26.779034	rna
374	39.378304	-26.006577	rna
375	39.720074	-25.973186	rna
376	38.626442	-26.490294	rna
377	37.061623	-25.166986	rna
378	38.312622	-25.924093	rna
379	23.99678	-42.261127	rna
380	40.31557	-27.675716	rna
381	37.769623	-24.91282	rna
382	37.924343	-24.401068	rna
383	38.0642	-23.891861	rna
384	38.07206	-26.023556	rna
385	37.409428	-24.833548	rna
386	38.016594	-26.890213	rna
387	37.95879	-23.616821	rna
388	37.13613	-24.404663	rna
389	37.438343	-18.335657	rna
390	38.56898	-25.289629	rna
391	38.31185	-24.770985	rna
392	40.00085	-23.998558	rna
393	37.958996	-26.878628	rna
394	39.300186	-26.997814	rna
395	40.42213	-27.936409	rna
396	39.075092	-25.914415	rna
397	38.92949	-26.025883	rna
398	38.73968	-26.460672	rna
399	39.827164	-27.400795	rna
400	34.929504	-21.740332	rna
401	38.805626	-23.55155	rna
402	36.450443	-21.384687	rna
403	36.36544	-21.54093	rna
404	36.323772	-20.179745	rna
405	37.863758	-19.869844	rna
406	37.137794	-24.889885	rna
407	37.667183	-22.43896	rna
408	36.19675	-21.68816	rna
409	34.320255	-20.791618	rna
410	35.314526	-22.710049	rna
411	36.430492	-20.186584	rna
412	38.061577	-24.52595	rna
413	37.28805	-20.886156	rna
414	36.770588	-21.724611	rna
415	39.311108	-25.807566	rna
416	36.81407	-22.924948	rna
417	35.540833	-21.90084	rna
418	37.006077	-20.313072	rna
419	36.246387	-21.233807	rna
420	35.511925	-19.819925	rna
421	36.669582	-21.41043	rna
422	34.58523	-21.404156	rna
423	37.258934	-21.205828	rna
424	37.02427	-21.33999	rna
425	36.868755	-21.026222	rna
426	34.856335	-21.653725	rna
427	36.612095	-19.568995	rna
428	36.364162	-21.052444	rna
429	35.260193	-21.548601	rna
430	35.211098	-21.778809	rna
431	37.85252	-23.138111	rna
432	37.140354	-21.735699	rna
433	35.18633	-21.931055	rna
434	34.982918	-22.064465	rna
435	36.592766	-22.548422	rna
436	37.113354	-20.517033	rna
437	38.191677	-20.885635	rna
438	30.44974	-16.603544	rna
439	37.75532	-22.200623	rna
440	37.823414	-20.199615	rna
441	-1.9869564	35.15033	rna
442	52.58378	-4.491631	rna
443	37.91096	-22.629765	rna
444	34.53172	-20.935766	rna
445	37.123535	-21.686466	rna
446	37.349697	-21.379906	rna
447	37.684113	-20.133114	rna
448	38.68234	-23.548113	rna
449	37.985085	-21.236086	rna
450	5.5528245	68.526085	rna
451	2.4560697	67.08727	rna
452	2.4968007	66.62132	rna
453	6.321889	71.76583	rna
454	3.4272835	68.48688	rna
455	5.544676	70.96718	rna
456	6.7723036	68.77156	rna
457	4.8735595	68.50008	rna
458	6.0942745	68.26167	rna
459	4.598067	67.12502	rna
460	4.064253	68.29407	rna
461	6.445077	69.99364	rna
462	6.459521	69.512054	rna
463	6.491355	69.47772	rna
464	3.3215625	69.82241	rna
465	6.2131877	69.91436	rna
466	5.3746123	68.17772	rna
467	2.7839198	67.96703	rna
468	5.9821563	70.52534	rna
469	6.918659	68.98302	rna
470	2.8392339	67.37805	rna
471	6.257143	69.01334	rna
472	6.3526735	67.87777	rna
473	-0.7078476	27.369926	rna
474	2.800203	69.143135	rna
475	3.065746	69.63928	rna
476	3.9544249	71.84102	rna
477	6.2345266	69.3388	rna
478	2.9911206	66.77859	rna
479	5.0508814	71.93293	rna
480	6.626213	68.622154	rna
481	3.8469107	66.47653	rna
482	5.7615767	67.95063	rna
483	3.5437677	66.36444	rna
484	5.564689	69.81445	rna
485	4.185554	67.57078	rna
486	5.1440268	68.00874	rna
487	4.255553	71.54344	rna
488	4.7913384	67.88338	rna
489	4.2811527	68.188515	rna
490	5.353601	70.05893	rna
491	3.3367245	68.35903	rna
492	4.9676976	67.78823	rna
493	5.1265016	72.37669	rna
494	4.358171	68.433205	rna
495	5.759951	71.46245	rna
496	3.1585329	66.47009	rna
497	3.5855012	67.233376	rna
498	5.8728733	67.35163	rna
499	2.8421202	66.56483	rna
500	3.0319319	71.46023	rna
501	0.9878382	70.42802	rna
502	3.0242503	71.0979	rna
503	2.6714602	71.50751	rna
504	1.409651	71.24052	rna
505	3.3766403	71.17963	rna
506	3.5566916	71.51437	rna
507	2.4852073	70.191505	rna
508	3.7710154	70.90323	rna
509	4.1500716	70.02936	rna
510	2.2372458	68.966415	rna
511	4.3890905	71.29351	rna
512	0.8484414	70.04771	rna
513	1.8385386	71.63876	rna
514	2.0081503	66.887535	rna
515	4.03956	70.697716	rna
516	3.0868666	70.067795	rna
517	2.9958122	69.321915	rna
518	2.5149472	71.565895	rna
519	4.6055512	68.72793	rna
520	3.3581245	70.029335	rna
521	3.2880793	71.38697	rna
522	5.2267118	71.76267	rna
523	4.1084146	69.9851	rna
524	2.7708142	69.655045	rna
525	3.9450328	70.8293	rna
526	5.34111	69.406	rna
527	1.4014716	70.98686	rna
528	3.6930919	70.545456	rna
529	4.7938733	70.88623	rna
530	2.6624165	71.46688	rna
531	2.7118654	71.74884	rna
532	3.0634768	69.05109	rna
533	3.743119	71.195206	rna
534	5.0271635	71.882645	rna
535	4.35506	68.35413	rna
536	4.5678954	70.41681	rna
537	2.8109045	69.96735	rna
538	3.7561135	71.39514	rna
539	4.4015055	68.556076	rna
540	3.246137	71.015625	rna
541	0.9016642	70.0715	rna
542	6.1869936	71.90348	rna
543	1.9612442	71.3862	rna
544	5.1010494	71.34232	rna
545	1.1344526	70.49164	rna
546	3.3275895	71.34544	rna
547	4.1494246	71.20103	rna
548	3.941488	70.79522	rna
549	5.371785	71.81238	rna
550	-70.02756	-32.066265	rna
551	1.1771516	20.724022	rna
552	2.9218233	24.528725	rna
553	3.006694	26.17168	rna
554	2.6010115	26.101934	rna
555	0.9016642	20.074652	rna
556	1.5598215	26.150854	rna
557	3.3096123	27.019075	rna
558	1.2447999	27.328653	rna
559	-1.1797552	26.116879	rna
560	3.8074946	25.214615	rna
561	3.689665	26.257233	rna
562	4.271704	24.870953	rna
563	3.1030662	26.884443	rna
564	2.941654	25.729156	rna
565	3.9648821	25.221037	rna
566	1.2886707	20.207056	rna
567	1.9478632	26.902328	rna
568	1.433451	20.370047	rna
569	1.226612	27.25472	rna
570	2.3289375	25.260288	rna
571	3.2299128	25.917122	rna
572	2.5001342	23.71218	rna
573	2.9747698	26.846138	rna
574	-1.882201	23.103567	rna
575	3.6779354	24.869759	rna
576	3.8603275	24.899221	rna
577	2.315047	27.215313	rna
578	-0.40414068	21.44359	rna
579	2.35487	66.26777	rna
580	-1.8798444	26.366262	rna
581	2.9161406	67.13881	rna
582	-0.30164874	26.137987	rna
583	1.0611169	26.19061	rna
584	0.63812935	27.599222	rna
585	0.9327589	27.351633	rna
586	4.149022	24.938719	rna
587	-0.41264793	25.377623	rna
588	3.3174644	26.498285	rna
589	0.9378181	27.59683	rna
590	2.9238706	23.46238	rna
591	-0.3301143	19.187735	rna
592	3.9799004	25.131935	rna
593	3.7338018	26.46625	rna
594	0.4826357	26.372541	rna
595	2.66801	27.3445	rna
596	3.7528906	26.569954	rna
597	1.4244138	27.02311	rna
598	2.15371	66.11967	rna
599	0.813852	19.899216	rna
600	-29.133354	51.398895	rna
601	-28.977978	52.255802	rna
602	-28.726402	55.76072	rna
603	-28.019142	52.743893	rna
604	-30.403276	54.001293	rna
605	-30.874092	57.213596	rna
606	-28.631365	50.064846	rna
607	-31.813763	54.109264	rna
608	-28.733774	49.10378	rna
609	-30.072277	53.958187	rna
610	-32.566162	58.710022	rna
611	-29.845402	51.09959	rna
612	-20.08311	51.054585	rna
613	-28.191952	53.149136	rna
614	-29.032991	49.36679	rna
615	-27.770632	52.072838	rna
616	-28.70298	50.646935	rna
617	-35.40722	59.809654	rna
618	-31.597704	56.179924	rna
619	-29.121803	55.22649	rna
620	-28.94508	49.4779	rna
621	-30.685326	53.935722	rna
622	-28.55058	48.700535	rna
623	-31.524628	52.85248	rna
624	-29.61601	51.461258	rna
625	-28.762848	55.21614	rna
626	-31.99096	52.916443	rna
627	-28.863628	49.223663	rna
628	-31.756449	52.860466	rna
629	-28.737984	55.76229	rna
630	-28.649746	48.97461	rna
631	-30.197279	54.831608	rna
632	-28.433836	53.37967	rna
633	-30.815556	57.050686	rna
634	-28.578907	48.92519	rna
635	-29.722246	51.259052	rna
636	-34.003674	59.71322	rna
637	-33.191593	55.511494	rna
638	-23.133219	55.525295	rna
639	-29.373272	51.490158	rna
640	-29.099373	50.82501	rna
641	-29.15355	53.411427	rna
642	-29.48342	53.266415	rna
643	-32.61176	55.092197	rna
644	-31.053074	57.110935	rna
645	-24.903395	54.662956	rna
646	-29.190868	52.66165	rna
647	-29.6942	55.47465	rna
648	-28.554796	49.143547	rna
649	-32.16583	56.533062	rna
650	-34.43464	59.29001	rna
651	-29.50123	55.71287	rna
652	-29.92819	49.842133	rna
653	-30.421898	54.127007	rna
654	-32.621246	53.54071	rna
655	-31.463219	52.471928	rna
656	-30.96944	52.232113	rna
657	-33.157093	55.814304	rna
658	-35.24025	59.168285	rna
659	-29.994837	50.4959	rna
660	-34.3779	56.686462	rna
661	-34.310673	57.34052	rna
662	-34.277542	56.726707	rna
663	-34.674305	57.2484	rna
664	-30.864988	52.02183	rna
665	-31.540813	52.66353	rna
666	-35.187897	57.860153	rna
667	-34.95089	59.319267	rna
668	-34.31643	56.989174	rna
669	-33.7059	57.433258	rna
670	-31.729	54.430122	rna
671	-28.84921	50.674965	rna
672	-29.699919	54.56796	rna
673	-32.979603	55.26207	rna
674	-30.32614	51.150993	rna
675	-29.703194	49.724403	rna
676	-33.59455	55.703434	rna
677	-28.572882	48.762753	rna
678	-33.381485	55.396397	rna
679	-29.178474	49.5586	rna
680	-34.046406	57.130424	rna
681	-29.40939	53.186386	rna
682	-29.424711	49.484783	rna
683	-34.449028	57.02125	rna
684	-32.016914	54.431084	rna
685	-28.243603	51.91795	rna
686	-35.322556	59.082554	rna
687	-35.54614	59.485233	rna
688	-32.860825	56.357574	rna
689	-32.161633	56.39993	rna
690	-28.98228	53.114082	rna
