	0	1	X
0	60.37163	37.512463	Stromal cell_Ccl11 high(Uterus)
1	63.20814	35.215336	Stromal cell_Ccl11 high(Uterus)
2	57.73133	40.57812	Stromal cell_Ccl11 high(Uterus)
3	60.632874	39.259308	Stromal cell_Ccl11 high(Uterus)
4	58.474255	40.856968	Stromal cell_Ccl11 high(Uterus)
5	63.359543	30.388275	Stromal cell_Ccl11 high(Uterus)
6	61.947243	39.73169	Stromal cell_Ccl11 high(Uterus)
7	62.96105	33.063347	Stromal cell_Ccl11 high(Uterus)
8	61.69704	39.601128	Stromal cell_Ccl11 high(Uterus)
9	63.73325	30.907995	Stromal cell_Ccl11 high(Uterus)
10	60.05959	39.022522	Stromal cell_Ccl11 high(Uterus)
11	63.000687	30.844719	Stromal cell_Ccl11 high(Uterus)
12	61.896667	35.983887	Stromal cell_Ccl11 high(Uterus)
13	61.391068	33.665627	Stromal cell_Ccl11 high(Uterus)
14	61.965908	35.990326	Stromal cell_Ccl11 high(Uterus)
15	59.54154	37.379845	Stromal cell_Ccl11 high(Uterus)
16	60.9575	36.03344	Stromal cell_Ccl11 high(Uterus)
17	62.127876	34.26322	Stromal cell_Ccl11 high(Uterus)
18	63.215645	32.703117	Stromal cell_Ccl11 high(Uterus)
19	62.904255	35.161198	Stromal cell_Ccl11 high(Uterus)
20	61.684685	33.535824	Stromal cell_Ccl11 high(Uterus)
21	63.424797	30.653372	Stromal cell_Ccl11 high(Uterus)
22	62.160168	34.26022	Stromal cell_Ccl11 high(Uterus)
23	62.985443	34.955654	Stromal cell_Ccl11 high(Uterus)
24	59.985775	34.090797	Stromal cell_Ccl11 high(Uterus)
25	63.428875	30.336603	Stromal cell_Ccl11 high(Uterus)
26	62.115215	39.496742	Stromal cell_Ccl11 high(Uterus)
27	59.581757	34.38774	Stromal cell_Ccl11 high(Uterus)
28	59.511494	38.856705	Stromal cell_Ccl11 high(Uterus)
29	59.419647	34.644726	Stromal cell_Ccl11 high(Uterus)
30	59.733917	37.353416	Stromal cell_Ccl11 high(Uterus)
31	63.186638	32.73805	Stromal cell_Ccl11 high(Uterus)
32	61.94144	38.30033	Stromal cell_Ccl11 high(Uterus)
33	60.101864	34.03809	Stromal cell_Ccl11 high(Uterus)
34	63.815903	32.32839	Stromal cell_Ccl11 high(Uterus)
35	61.55616	36.36988	Stromal cell_Ccl11 high(Uterus)
36	61.650177	38.351852	Stromal cell_Ccl11 high(Uterus)
37	59.210262	38.44468	Stromal cell_Ccl11 high(Uterus)
38	63.279716	32.55978	Stromal cell_Ccl11 high(Uterus)
39	61.15416	36.338448	Stromal cell_Ccl11 high(Uterus)
40	59.34256	37.805565	Stromal cell_Ccl11 high(Uterus)
41	64.08304	32.542587	Stromal cell_Ccl11 high(Uterus)
42	62.224976	33.27329	Stromal cell_Ccl11 high(Uterus)
43	59.647953	39.137444	Stromal cell_Ccl11 high(Uterus)
44	61.39649	36.07216	Stromal cell_Ccl11 high(Uterus)
45	61.743374	32.303814	Stromal cell_Ccl11 high(Uterus)
46	57.86565	40.439888	Stromal cell_Ccl11 high(Uterus)
47	59.557865	37.862526	Stromal cell_Ccl11 high(Uterus)
48	63.566948	30.25995	Stromal cell_Ccl11 high(Uterus)
49	62.712254	31.87821	Stromal cell_Ccl11 high(Uterus)
50	-80.170746	13.898011	Endothelial cell_Tm4sf1 high(Uterus)
51	-77.184875	15.543351	Endothelial cell_Tm4sf1 high(Uterus)
52	14.742536	-14.883399	Endothelial cell_Tm4sf1 high(Uterus)
53	-79.64331	13.587487	Endothelial cell_Tm4sf1 high(Uterus)
54	-77.84451	14.971434	Endothelial cell_Tm4sf1 high(Uterus)
55	19.786768	-14.633433	Endothelial cell_Tm4sf1 high(Uterus)
56	-77.88967	10.54484	Endothelial cell_Tm4sf1 high(Uterus)
57	-77.40518	15.850829	Endothelial cell_Tm4sf1 high(Uterus)
58	-80.706474	9.160664	Endothelial cell_Tm4sf1 high(Uterus)
59	-80.28569	12.512244	Endothelial cell_Tm4sf1 high(Uterus)
60	-76.83997	15.368129	Endothelial cell_Tm4sf1 high(Uterus)
61	11.545428	7.5955896	Endothelial cell_Tm4sf1 high(Uterus)
62	-80.52043	6.89748	Endothelial cell_Tm4sf1 high(Uterus)
63	-79.65753	13.308631	Endothelial cell_Tm4sf1 high(Uterus)
64	-76.824265	15.860293	Endothelial cell_Tm4sf1 high(Uterus)
65	-80.846405	13.128625	Endothelial cell_Tm4sf1 high(Uterus)
66	-80.17499	13.741869	Endothelial cell_Tm4sf1 high(Uterus)
67	-81.13007	6.877274	Endothelial cell_Tm4sf1 high(Uterus)
68	-80.10978	13.43021	Endothelial cell_Tm4sf1 high(Uterus)
69	-78.16327	10.7952795	Endothelial cell_Tm4sf1 high(Uterus)
70	-80.828606	10.831721	Endothelial cell_Tm4sf1 high(Uterus)
71	-76.94483	15.18929	Endothelial cell_Tm4sf1 high(Uterus)
72	-76.09596	15.361321	Endothelial cell_Tm4sf1 high(Uterus)
73	-80.308815	13.702007	Endothelial cell_Tm4sf1 high(Uterus)
74	-79.98371	12.705628	Endothelial cell_Tm4sf1 high(Uterus)
75	14.844447	-14.911372	Endothelial cell_Tm4sf1 high(Uterus)
76	-79.881226	13.507305	Endothelial cell_Tm4sf1 high(Uterus)
77	-80.44225	11.598192	Endothelial cell_Tm4sf1 high(Uterus)
78	-79.48032	13.654035	Endothelial cell_Tm4sf1 high(Uterus)
79	-77.757225	15.269975	Endothelial cell_Tm4sf1 high(Uterus)
80	-76.63324	15.411567	Endothelial cell_Tm4sf1 high(Uterus)
81	-80.4292	13.57435	Endothelial cell_Tm4sf1 high(Uterus)
82	-81.63128	7.400018	Endothelial cell_Tm4sf1 high(Uterus)
83	-77.72333	9.210065	Endothelial cell_Tm4sf1 high(Uterus)
84	-77.388504	15.467397	Endothelial cell_Tm4sf1 high(Uterus)
85	-79.73661	13.388854	Endothelial cell_Tm4sf1 high(Uterus)
86	-76.942604	15.354646	Endothelial cell_Tm4sf1 high(Uterus)
87	-77.55735	15.360343	Endothelial cell_Tm4sf1 high(Uterus)
88	-76.71276	15.343332	Endothelial cell_Tm4sf1 high(Uterus)
89	-80.42952	13.251052	Endothelial cell_Tm4sf1 high(Uterus)
90	-79.71462	12.003998	Endothelial cell_Tm4sf1 high(Uterus)
91	-81.08559	12.910716	Endothelial cell_Tm4sf1 high(Uterus)
92	-79.68923	12.120542	Endothelial cell_Tm4sf1 high(Uterus)
93	-80.10555	12.387197	Endothelial cell_Tm4sf1 high(Uterus)
94	-79.749725	13.412123	Endothelial cell_Tm4sf1 high(Uterus)
95	-80.50471	12.395885	Endothelial cell_Tm4sf1 high(Uterus)
96	-79.950935	12.503466	Endothelial cell_Tm4sf1 high(Uterus)
97	-79.30741	13.920001	Endothelial cell_Tm4sf1 high(Uterus)
98	-80.149	9.953836	Endothelial cell_Tm4sf1 high(Uterus)
99	-76.657295	15.592954	Endothelial cell_Tm4sf1 high(Uterus)
100	61.54742	34.998177	Stromal cell_Hsd11b2 high(Uterus)
101	60.820923	39.733013	Stromal cell_Hsd11b2 high(Uterus)
102	62.189236	39.648518	Stromal cell_Hsd11b2 high(Uterus)
103	62.536522	39.654484	Stromal cell_Hsd11b2 high(Uterus)
104	63.077442	32.122086	Stromal cell_Hsd11b2 high(Uterus)
105	62.965965	32.679768	Stromal cell_Hsd11b2 high(Uterus)
106	63.242027	30.225367	Stromal cell_Hsd11b2 high(Uterus)
107	62.69836	31.834759	Stromal cell_Hsd11b2 high(Uterus)
108	59.71008	39.40676	Stromal cell_Hsd11b2 high(Uterus)
109	61.94462	34.633575	Stromal cell_Hsd11b2 high(Uterus)
110	58.96515	37.212902	Stromal cell_Hsd11b2 high(Uterus)
111	61.930885	38.39739	Stromal cell_Hsd11b2 high(Uterus)
112	63.2577	32.160625	Stromal cell_Hsd11b2 high(Uterus)
113	60.69791	39.335182	Stromal cell_Hsd11b2 high(Uterus)
114	61.130165	33.43559	Stromal cell_Hsd11b2 high(Uterus)
115	61.166462	30.266233	Stromal cell_Hsd11b2 high(Uterus)
116	62.383724	34.56699	Stromal cell_Hsd11b2 high(Uterus)
117	62.013577	38.913956	Stromal cell_Hsd11b2 high(Uterus)
118	58.921997	39.944614	Stromal cell_Hsd11b2 high(Uterus)
119	62.001106	39.333813	Stromal cell_Hsd11b2 high(Uterus)
120	61.202427	33.646614	Stromal cell_Hsd11b2 high(Uterus)
121	62.48176	39.51823	Stromal cell_Hsd11b2 high(Uterus)
122	60.57317	36.440685	Stromal cell_Hsd11b2 high(Uterus)
123	61.940678	30.172815	Stromal cell_Hsd11b2 high(Uterus)
124	63.282543	31.481075	Stromal cell_Hsd11b2 high(Uterus)
125	61.685493	33.33713	Stromal cell_Hsd11b2 high(Uterus)
126	63.202087	30.17515	Stromal cell_Hsd11b2 high(Uterus)
127	57.606144	35.618217	Stromal cell_Hsd11b2 high(Uterus)
128	62.89574	32.584282	Stromal cell_Hsd11b2 high(Uterus)
129	62.68798	33.880787	Stromal cell_Hsd11b2 high(Uterus)
130	60.171597	35.431625	Stromal cell_Hsd11b2 high(Uterus)
131	62.44545	37.413506	Stromal cell_Hsd11b2 high(Uterus)
132	62.94247	33.78144	Stromal cell_Hsd11b2 high(Uterus)
133	59.05037	40.14291	Stromal cell_Hsd11b2 high(Uterus)
134	61.10303	36.320663	Stromal cell_Hsd11b2 high(Uterus)
135	63.245667	30.302868	Stromal cell_Hsd11b2 high(Uterus)
136	61.25071	39.278446	Stromal cell_Hsd11b2 high(Uterus)
137	62.171665	35.820023	Stromal cell_Hsd11b2 high(Uterus)
138	61.604427	38.46222	Stromal cell_Hsd11b2 high(Uterus)
139	63.18344	34.09791	Stromal cell_Hsd11b2 high(Uterus)
140	60.875282	38.959087	Stromal cell_Hsd11b2 high(Uterus)
141	62.494595	39.102715	Stromal cell_Hsd11b2 high(Uterus)
142	63.69431	32.617558	Stromal cell_Hsd11b2 high(Uterus)
143	62.21136	35.47345	Stromal cell_Hsd11b2 high(Uterus)
144	62.250122	35.707542	Stromal cell_Hsd11b2 high(Uterus)
145	62.928295	30.419151	Stromal cell_Hsd11b2 high(Uterus)
146	60.75161	39.69446	Stromal cell_Hsd11b2 high(Uterus)
147	63.51521	30.897068	Stromal cell_Hsd11b2 high(Uterus)
148	59.131348	40.076298	Stromal cell_Hsd11b2 high(Uterus)
149	62.35503	39.133995	Stromal cell_Hsd11b2 high(Uterus)
150	56.604767	37.915863	Stromal cell_Has1 high(Uterus)
151	60.26956	31.773846	Stromal cell_Has1 high(Uterus)
152	57.140575	36.359398	Stromal cell_Has1 high(Uterus)
153	59.366764	34.96105	Stromal cell_Has1 high(Uterus)
154	59.306187	35.328785	Stromal cell_Has1 high(Uterus)
155	57.468243	35.209717	Stromal cell_Has1 high(Uterus)
156	60.18564	32.005398	Stromal cell_Has1 high(Uterus)
157	57.539143	37.15422	Stromal cell_Has1 high(Uterus)
158	58.181877	36.450584	Stromal cell_Has1 high(Uterus)
159	55.884266	37.80806	Stromal cell_Has1 high(Uterus)
160	59.264675	34.79436	Stromal cell_Has1 high(Uterus)
161	58.249943	30.577208	Stromal cell_Has1 high(Uterus)
