	0	1	X
0	71.648865	-29.570856	rna
1	72.10482	-29.81787	rna
2	64.8772	-34.429085	rna
3	67.48189	-31.42091	rna
4	65.60864	-31.902784	rna
5	69.75433	-31.353909	rna
6	65.60909	-30.941435	rna
7	70.081955	-30.966698	rna
8	66.082466	-31.571686	rna
9	71.74708	-30.177511	rna
10	70.44902	-32.68456	rna
11	66.27377	-32.659367	rna
12	71.567894	-30.232033	rna
13	67.2788	-30.784914	rna
14	70.08217	-34.683907	rna
15	69.575966	-31.523882	rna
16	69.35895	-33.823063	rna
17	68.32364	-29.664436	rna
18	69.90315	-30.657696	rna
19	71.74934	-30.543112	rna
20	66.977036	-32.883236	rna
21	70.58891	-31.207104	rna
22	67.16815	-30.768753	rna
23	71.47598	-30.306208	rna
24	68.7538	-33.143528	rna
25	70.43166	-30.329268	rna
26	65.760544	-31.574696	rna
27	68.075775	-33.54727	rna
28	70.50706	-31.324253	rna
29	64.84875	-34.502846	rna
30	69.62139	-31.781929	rna
31	70.70078	-30.010849	rna
32	66.58525	-30.902311	rna
33	67.2177	-29.708958	rna
34	71.7006	-30.17818	rna
35	71.13658	-30.32351	rna
36	68.93688	-30.413944	rna
37	72.129196	-30.879816	rna
38	70.31334	-30.171364	rna
39	68.90488	-30.249186	rna
40	72.02439	-31.539406	rna
41	68.068825	-29.309818	rna
42	68.63225	-30.05464	rna
43	69.90942	-30.588762	rna
44	71.11666	-29.994732	rna
45	68.53141	-32.885674	rna
46	68.94349	-31.79035	rna
47	67.16878	-33.24736	rna
48	70.94781	-29.792429	rna
49	68.800285	-30.644928	rna
50	34.75676	67.47524	rna
51	33.403088	65.34011	rna
52	-6.4499106	-16.581161	rna
53	33.870914	66.62049	rna
54	31.899698	65.444756	rna
55	33.586243	63.73101	rna
56	33.62066	65.76906	rna
57	34.02159	64.97141	rna
58	34.219814	67.38186	rna
59	34.15076	66.78104	rna
60	33.375526	65.24517	rna
61	28.933817	70.2029	rna
62	34.773655	67.06445	rna
63	34.42817	66.95181	rna
64	33.777008	64.58328	rna
65	34.39331	67.810585	rna
66	34.126442	67.381226	rna
67	35.19416	67.832855	rna
68	34.684875	66.59671	rna
69	33.248558	67.300095	rna
70	35.092915	67.83074	rna
71	31.954845	67.12037	rna
72	31.209936	65.74457	rna
73	34.423603	65.87405	rna
74	34.508854	65.651474	rna
75	31.399027	66.73031	rna
76	34.966354	66.24273	rna
77	34.791767	67.06409	rna
78	34.146477	66.46026	rna
79	33.859257	66.990234	rna
80	33.331993	65.595024	rna
81	35.142704	66.13795	rna
82	35.38844	67.940704	rna
83	33.656403	65.66538	rna
84	33.79251	65.72468	rna
85	34.391598	65.64901	rna
86	31.616589	66.8717	rna
87	33.97842	65.30818	rna
88	31.355547	65.673515	rna
89	34.80179	66.006584	rna
90	34.358494	66.10016	rna
91	34.679836	67.36123	rna
92	33.966274	67.353905	rna
93	34.523026	65.683754	rna
94	34.517506	66.60349	rna
95	34.879677	67.04033	rna
96	33.460766	67.34183	rna
97	32.06871	65.42292	rna
98	33.72266	68.16204	rna
99	33.12064	65.199165	rna
