	0	1	X
0	31.044502	62.401115	rna
1	31.921633	62.861946	rna
2	31.601479	58.562405	rna
3	29.867773	60.524883	rna
4	29.96283	60.56735	rna
5	31.12179	61.08478	rna
6	28.988571	62.799305	rna
7	31.46649	61.415752	rna
8	29.332354	62.36501	rna
9	32.636097	62.241993	rna
10	31.463657	60.26636	rna
11	27.315678	58.96266	rna
12	32.84721	62.135796	rna
13	29.343946	61.309464	rna
14	30.607319	59.61954	rna
15	29.619827	61.65554	rna
16	30.706203	59.56899	rna
17	30.375307	63.070065	rna
18	31.138567	62.371456	rna
19	30.96988	60.79084	rna
20	26.988483	59.614002	rna
21	32.054287	60.466797	rna
22	30.829971	63.12606	rna
23	31.573507	61.66091	rna
24	29.185455	59.201042	rna
25	31.304285	61.085796	rna
26	29.20342	60.71703	rna
27	28.42322	59.895916	rna
28	31.27241	61.667625	rna
29	30.880785	59.28337	rna
30	29.618523	61.55993	rna
31	30.760258	61.91732	rna
32	29.63793	63.016785	rna
33	32.323334	61.18846	rna
34	32.597923	62.049496	rna
35	32.604275	62.129223	rna
36	31.074331	61.628006	rna
37	31.41536	61.922462	rna
38	31.3886	62.90318	rna
39	31.271784	62.943245	rna
40	31.808956	60.0313	rna
41	30.700459	64.054634	rna
42	30.626911	63.264317	rna
43	31.819942	62.312386	rna
44	30.111366	61.896072	rna
45	29.387909	59.690243	rna
46	29.589083	61.418865	rna
47	29.777899	59.620502	rna
48	31.919203	60.930252	rna
49	31.806047	63.577736	rna
50	29.86784	29.966927	rna
51	29.946384	28.522963	rna
52	27.304188	27.458704	rna
53	29.726519	28.634886	rna
54	29.98959	31.805527	rna
55	28.270418	29.25678	rna
56	30.779938	28.106817	rna
57	29.133364	29.212145	rna
58	30.474115	30.232298	rna
59	30.82571	29.582516	rna
60	29.843636	28.3281	rna
61	27.143162	26.442125	rna
62	31.106083	29.41035	rna
63	30.179438	29.513222	rna
64	28.68809	29.072916	rna
65	30.29005	31.728733	rna
66	31.931253	30.54877	rna
67	31.630743	30.60988	rna
68	30.883396	29.307789	rna
69	29.601198	28.993263	rna
70	30.000774	30.422373	rna
71	28.383795	28.14614	rna
72	29.884108	32.076767	rna
73	31.480417	29.936575	rna
74	30.166859	28.254004	rna
75	27.60284	27.660715	rna
76	30.903502	29.218725	rna
77	30.069159	29.537027	rna
78	29.803156	29.393791	rna
79	30.450201	29.282188	rna
80	30.52354	28.678204	rna
81	30.861444	29.051115	rna
82	30.040697	30.64722	rna
83	30.017065	28.066051	rna
84	29.903934	28.404905	rna
85	30.15666	28.29156	rna
86	27.469452	27.558126	rna
87	29.968266	28.269314	rna
88	29.876398	32.006607	rna
89	30.523752	28.936663	rna
90	29.904703	28.46543	rna
91	30.09309	29.634861	rna
92	30.333233	29.533339	rna
93	29.891468	28.703482	rna
94	29.908773	29.489933	rna
95	30.552265	29.633127	rna
96	29.93641	29.85764	rna
97	30.114323	31.785847	rna
98	30.313549	30.740646	rna
99	29.234522	28.561066	rna
100	30.51062	63.316402	rna
101	30.12894	62.391827	rna
102	28.52546	62.690826	rna
103	28.72647	62.223118	rna
104	31.765507	61.48237	rna
105	31.846874	62.04748	rna
106	27.838476	60.31172	rna
107	31.951187	60.377304	rna
108	29.540678	61.291046	rna
109	30.107328	63.94187	rna
110	27.783066	58.575954	rna
111	30.383982	62.36849	rna
112	31.4848	61.94535	rna
113	30.328249	61.25613	rna
114	27.360737	60.253876	rna
115	27.875824	61.375477	rna
116	31.85409	62.16499	rna
117	29.04462	62.244473	rna
118	32.906887	62.297764	rna
119	32.767097	63.537216	rna
120	27.279938	60.26467	rna
121	29.345514	63.274426	rna
122	33.567204	60.895985	rna
123	28.701199	61.700363	rna
124	29.066862	61.49213	rna
125	29.9821	61.01597	rna
126	31.94808	60.478218	rna
127	28.02033	58.945957	rna
128	31.112127	61.340668	rna
129	30.12727	62.691082	rna
130	32.19451	61.62257	rna
131	31.06359	63.371185	rna
132	31.667038	60.922512	rna
133	33.312084	62.913807	rna
134	29.605083	61.62264	rna
135	32.813587	61.045174	rna
136	29.117067	63.313877	rna
137	31.25475	62.55835	rna
138	29.439419	62.0978	rna
139	30.632235	62.34304	rna
140	31.559923	58.41467	rna
141	31.293222	59.81084	rna
142	32.479176	62.51263	rna
143	31.574537	62.618626	rna
144	33.374557	61.059082	rna
145	28.77172	60.53834	rna
146	29.514414	63.42564	rna
147	33.30697	61.42247	rna
148	28.383776	61.8906	rna
149	33.27138	62.77046	rna
150	28.1287	57.817955	rna
151	30.064547	58.899128	rna
152	27.739008	56.765892	rna
153	29.928617	57.903328	rna
154	30.121311	59.044662	rna
155	28.058558	56.433804	rna
